title,critic_score,audience_score,runtime,mpaa_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,link
Wasteland,60,63,1h 49m,,Mischief Films,,,"Nov 30, 2016","['crime', 'drama', 'mysteryandthriller']","['Timothy Spall', 'Vanessa Kirby', 'Neil Maskell', 'Paul Clayton', 'Gerard Kearns', 'Rowan Athale', 'Luke Treadaway', 'Iwan Rheon', 'Matthew Lewis']",['Rowan Athale'],https://www.rottentomatoes.com/m/the_rise
Baby Frankenstein,83,83,1h 23m,,Barefoot Girl Productions,"Oct 26, 2018",,"Jun 23, 2020","['comedy', 'fantasy', 'drama', 'scifi']","['Bill Rutkoski', 'Eileen Rosen', 'Mike Rutkoski', 'Denise Pantoja', 'Rance Nix', 'David Sartor', 'Mason Carver', 'Andre Gower', 'Patrick McCartney', 'John Hudak Jr.', 'Jon Yonkondy', 'Ian Barling']",['Jon Yonkondy'],https://www.rottentomatoes.com/m/baby_frankenstein
Kiss of the Damned,60,38,1h 36m,R,Deer Jen Films,"May 3, 2013",,"Nov 1, 2016",['horror'],"['Jen Gatien', 'Jefferson Bjoraker', 'Milo Ventimiglia', 'Anna Mouglalis', 'Tobias Datum', 'Jesse Itzler', 'Jacob Pechenik', 'Riaz Tyab', 'Michael Rapaport', 'Alex Orlovsky', 'Jonathan Vinnik', 'Joséphine de La Baume', 'Maria Hassabi', 'Riley Keough', 'Xan Cassavetes', 'Adam S. Bersin', 'Ching Valdes-Aran', 'Roxane Mesquida', 'Luis Gispert']",['Xan Cassavetes'],https://www.rottentomatoes.com/m/kiss_of_the_damned_2012
A Kind of Murder,35,15,1h 38m,R,Blue PM,"Dec 16, 2016",,"Mar 21, 2017","['drama', 'mysteryandthriller', 'crime']","['Christine A. Dye', 'David Hinojosa', 'Danny Bensi', 'Vincent Kartheiser', 'Jennifer Enskat', 'Jessica Biel', 'Ted Hope', 'Andy Goddard', 'Christine Vachon', 'Kelly McCormick', 'Patrick Wilson', 'Corrie Danieley', 'Haley Bennett', 'Susan Boyd', 'Eddie Marsan', 'Radek Lord', 'Lucas Bentley', 'John Jencks', 'Alexa Seligman']",['Andy Goddard'],https://www.rottentomatoes.com/m/a_kind_of_murder
31,48,35,1h 42m,R,Bow and Arrow Entertainment,"Oct 21, 2016",,"Oct 26, 2016","['mysteryandthriller', 'other', 'horror']","['Sheri Moon Zombie', 'David Daniel', 'Pancho Moler', 'Lew Temple', 'Rob Zombie', 'Kevin Jackson', 'Andy Gould', 'Daniel Roebuck', 'Glenn Garland', 'Matthew Perniciaro', 'Jeff Daniel Phillips', 'Mike Elliott', 'Lawrence-Hilton Jacobs', 'Jane Carr', 'Meg Foster', 'Michael Sherman', 'Richard Brake', 'Eddie Vaisman']",['Rob Zombie'],https://www.rottentomatoes.com/m/31
Ip Man 3,76,73,1h 45m,PG-13,Starbright Communications,"Jan 22, 2016",,"Apr 19, 2016","['action', 'sportsandfitness']","['Mike Tyson', 'Louis Cheung', 'Patrick Tam', 'Tai-lee Chan', 'Donnie Yen', 'Cheung Ka Fai', 'Karena Ng', 'Babyjohn Choi', 'Wilson Yip', 'Zhang Jin', 'Lai-yin Leung', 'Edmond Wong', 'Bak-Ming Wong', 'Kenny Tse', 'Kenji Kawai', 'Kent Cheng']",['Wilson Yip'],https://www.rottentomatoes.com/m/ip_man_3
Moneyball,94,86,2h 13m,PG-13,Scott Rudin Productions,"Sep 23, 2011",,"Sep 3, 2013",['drama'],"['Mark Bakshi', 'Stephen Bishop', 'Rachael Horovitz', 'Reed Diamond', 'Andrew Karsch', 'Robin Wright', 'Jonah Hill', 'Tammy Blanchard', 'Bennett Miller', 'Scott Rudin', 'Chris Pratt', 'Sidney Kimmel', 'Brent Jennings', 'Brad Pitt', 'Steven Zaillian', 'Ken Medlock', 'Aaron Sorkin', 'Michael De Luca', 'Philip Seymour Hoffman']",['Bennett Miller'],https://www.rottentomatoes.com/m/moneyball
Song of Granite,85,58,1h 44m,,Marcie Films,"Nov 15, 2017",,"Feb 6, 2018","['music', 'history', 'drama', 'biography']","['Jaren Cerf', 'Pat Collins', 'Martin Paul-Hus', 'Leni Parker', 'Peadar Cox', 'Alain Goulem', 'Jessie Fisk', 'Sharon Whooley', ""Tadhg O'Sullivan"", 'Macdara Ó Fátharta', 'Zach Fraser', 'Colm Seoighe', ""Mícheal O'Confhaola"", 'Alan Maher', 'Marcelo Arroyo', 'Keith Potter', 'Eoghan Mac Giolla Bhride']",['Pat Collins'],https://www.rottentomatoes.com/m/song_of_granite
Leap Year,93,56,1h 34m,,Machete Productions,"Jun 24, 2011",,"Jan 25, 2017",['drama'],"['Marco Zapata', 'Michael Rowe', 'Edher Campos', 'Courtney Vanderslice', 'Lucia Carreras', 'Gustavo Sánchez Parra', 'Monica del Carmen', 'Luis Salinas']",['Michael Rowe'],https://www.rottentomatoes.com/m/leap_year_2011
A Tuba to Cuba,100,81,1h 24m,,Preservation Hall Films,"Feb 15, 2019",,"Mar 15, 2019","['music', 'documentary']","['Danny Clinch', 'Preservation Hall Jazz Band', 'T.G. Herrington', 'Kristin Patrick', 'Adam Block', 'Ben Jaffe', 'Mike Martinovich', 'Josh Goleman', 'Nicelle Herrington', 'Han Soto']","['Danny Clinch', 'T.G. Herrington']",https://www.rottentomatoes.com/m/a_tuba_to_cuba
The Last Full Measure,59,96,1h 56m,R,SSS Entertainment,"Jan 24, 2020",,"Apr 7, 2020","['drama', 'war']","['Julian Adams', 'Jeremy Irvine', 'Bradley Whitford', 'William Hurt', 'Linus Roache', 'Samuel L. Jackson', 'Ed Harris', 'Michael Imperioli', 'Robert Reed Peterson', 'Timothy Scott Bogart', 'Adi Cohen', 'Mark Damon', 'Todd Robinson', 'Alison Sudol', 'Sebastian Stan', 'Nicholas Cafritz', 'Christopher Plummer', 'Michael Bassick', 'Pen Densham']",['Todd Robinson'],https://www.rottentomatoes.com/m/the_last_full_measure
Safe,59,59,1h 35m,R,Lawrence Bender Productions,"Apr 27, 2012",,"Dec 19, 2015","['action', 'mysteryandthriller']","['Stuart Ford', 'Sándor Técsy', 'Boaz Yakin', 'Stefan Czapsky', 'James Hong', 'Kevin Spacey', 'Anson Mount', 'Joseph Sikora', 'Reggie Lee', 'Chris Sarandon', 'Brian Kavanaugh-Jones', ""Matt O'Toole"", 'Jason Statham', 'Joseph Nemec III', 'Deepak Nayar', 'Lawrence Bender', 'Robert John Burke', 'Dana Brunetti', 'Danny Hoch']",['Boaz Yakin'],https://www.rottentomatoes.com/m/safe_2011
Whiskey Tango Foxtrot,67,54,1h 51m,R,Broadway Video Entertainment,"Mar 4, 2016",,"Jun 17, 2016","['comedy', 'drama', 'biography', 'war']","['Sam Grey', 'Ian Bryce', 'Sheila Vand', 'Stephen Peacocke', 'Glenn Ficarra', 'Billy Bob Thornton', 'Martin Freeman', 'Eric Gurian', 'Christopher Abbott', 'Margot Robbie', 'John Requa', 'Tina Fey', 'Charlie Gogolak', 'Nicholas Braun', 'Robert Carlock', 'Xavier Grobet', 'Alfred Molina', 'Evan Jonigkeit', 'Lorne Michaels']","['John Requa', 'Glenn Ficarra']",https://www.rottentomatoes.com/m/whiskey_tango_foxtrot
"Ray Romano: Right Here, Around the Corner",57,,,,,,,,[],"['Raymond Albert Romano', 'Unknown Director']",['Unknown Director'],https://www.rottentomatoes.com/m/ray_romano_right_here_around_the_corner
High Flying Bird,91,50,1h 30m,,Extension 765,,,"Feb 8, 2019",['drama'],"['Zazie Beetz', 'Andre Holland', 'Tarell Alvin McCraney', 'Steven Soderbergh', 'Zachary Quinto', 'Glenn Fleshler', 'Caleb McLaughlin', 'Melvin Gregg', 'Ken Meyer', 'Andy Eklund', 'Carmen Cuba', 'Joseph Malloch', 'Katie Bova', 'Kyle MacLachlan', 'Jeryl Prescott', 'Sonja Sohn', 'Bill Duke']",['Steven Soderbergh'],https://www.rottentomatoes.com/m/high_flying_bird
Six Million and One,90,80,1h 33m,,,,,"Mar 22, 2016",['documentary'],"['Ronen Mayo', 'Ran Bagno', 'Claudio Steinberg', 'David Fisher', 'Hadas Ayalon', 'Ronen Shechner']",['David Fisher'],https://www.rottentomatoes.com/m/six_million_and_one
Semper Fi: Always Faithful,100,92,1h 15m,,,,,"Mar 8, 2017",['documentary'],"['Jedd Wider', 'Todd Wider', 'Rachel Libert', 'Tony Hardmon']","['Rachel Libert', 'Tony Hardmon']",https://www.rottentomatoes.com/m/semper_fi_always_faithful
Dirt Music,30,50,1h 45m,,Pelgo Films,,,"Jul 17, 2020",['romance'],"['Julia Stone', 'Chris Haywood', 'Amanda Posey', 'Polly Staniford', 'George Mason', 'Lauren Dark', 'Stephen Dailey', 'Jack Thorne', 'Kelly Macdonald', 'Aaron Pedersen', 'Finola Dwyer', 'Garrett Hedlund', 'Daniel Battsek', 'Sue Bruce Smith', 'Angie Fielder', 'Dan Wyllie', 'David Wenham', 'Gregor Jordan']",['Gregor Jordan'],https://www.rottentomatoes.com/m/dirt_music_2019
Romantics Anonymous,86,73,1h 20m,,Uni Étoile 7,,,"Apr 17, 2016",['romance'],"['Jean-Pierre Améris', 'Benoît Poelvoorde', 'Lise Lamétrie', 'Gérard Simon', 'Lorella Cravotta', 'Philippe Godeau', 'Jacques Boudet', 'Sylvie Olivé', 'Philippe Blasband', 'Stéphan Wojtowicz', 'Nathalie Gastaldo', 'Philippe Bourgueil', 'Tatiana Vialle', 'Isabelle Carré', 'Swann Arlaud', 'Pierre Niney', 'Pierre Adenot']",['Jean-Pierre Améris'],https://www.rottentomatoes.com/m/romantics_anonymous
Side by Side,93,86,1h 38m,,,"Aug 17, 2012",,"Aug 10, 2016",['documentary'],"['Christopher Kenneally', 'Brendan Ryan', 'Billy Ryan', 'Justin Szlasa', 'Malcolm Hearn', 'Keanu Reeves', 'Chris Cassidy', 'Mike Long']",['Christopher Kenneally'],https://www.rottentomatoes.com/m/side_by_side_2012
Kinyarwanda,100,78,1h 40m,,,,,"Feb 13, 2017","['drama', 'romance']","['Charles Plath', 'Ayuub Kasasa Mago', 'Mutsari Jean', 'Marc Gwamaka', 'Mazimpaka Kennedy', 'Cleophas Kabasita', 'Edouard Bamporiki', 'Patricia Janvier', 'Alrick Brown', 'John Jennings Boyd', 'Hassan Kabera', 'Tommy Oliver', 'Cassandra Freeman', 'Assumpta Micho', 'Hadidja Zaninka', 'Darren Dean', 'Ishmael Ntihabose']",['Alrick Brown'],https://www.rottentomatoes.com/m/rite_2011
Palio,95,84,1h 31m,,,"Nov 6, 2015",,"Mar 12, 2017","['documentary', 'drama']","[""Francesco Melzi D'Eril"", 'Cosima Spender', 'John Hunt', 'Stuart Bentley', 'Alex Heffes', 'Valerio Bonelli', 'James Gay-Rees']",['Cosima Spender'],https://www.rottentomatoes.com/m/palio
Sea Fever,87,46,1h 30m,,Frakas Productions,,,"Apr 8, 2020","['horror', 'mysteryandthriller']","['Christoffer Franzén', 'John McDonnell', 'Patrick Fischer', 'Dougray Scott', 'Connie Nielsen', 'Jack Hickey', 'Ray Ball', 'Olwen Fouere', 'Elie Bouakaze', 'Hermione Corfield', 'Barry Moen', 'Neasa Hardiman', ""Ruairi O'Brien"", 'Brendan McCarthy', 'Shaked Berenson', 'Ardalan Esmaili']",['Neasa Hardiman'],https://www.rottentomatoes.com/m/sea_fever_2020
Wish Me Away,92,85,1h 36m,,First Run Features,,,"Aug 11, 2016","['gayandlesbian', 'documentary']","['Bobbie Birleffi', 'Beverly Kopf', 'Rhonda Eiffe', 'Richard Bever']","['Bobbie Birleffi', 'Beverly Kopf']",https://www.rottentomatoes.com/m/chely_wright_wish_me_away
