title,critic_score,audience_score,runtime,mpaa_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,link
Tremors: Shrieker Island,44,35,1h 43m,PG-13,Living Films,,,"Oct 20, 2020","['adventure', 'horror']","['Michael Gross', 'Brian Brightly', 'Sahajak Boonthanakit', 'Don Michael Paul', 'Richard Brake', 'Alexander Krumov', 'Todd Williams', 'Cassie Clare', 'Frederik Wiedmann', 'Ron Smoorenburg', 'Caroline Langrishe', 'Jeff Gerrard', 'Vanick Moradian', 'David Asavanond', 'Jackie Cruz', 'Chris Lowenstein', 'Gillian Hawser', 'Brahim Chab', 'Jon Heder']",['Don Michael Paul'],https://www.rottentomatoes.com/m/tremors_shrieker_island
The Last Run,40,43,1h 40m,PG,,,,"Mar 6, 2016","['crime', 'drama']","['George C. Scott', 'Tony Musante', 'Richard Fleischer', 'Trish Van Devere']",['Richard Fleischer'],https://www.rottentomatoes.com/m/the-last-run-1971
Holiday in the Wild,38,48,1h 25m,,,,,"Nov 1, 2019","['other', 'romance']","['Fezile Mpela', 'Amy Krell', 'Neal H. Dobrofsky', 'Ernie Barbarash', 'Tippi Dobrofsky', 'John Owen Lowe', 'Rob Lowe', 'Colin Moss', 'Keeno Lee Hector', 'Vlokkie Gordon', 'Kristin Davis']",['Ernie Barbarash'],https://www.rottentomatoes.com/m/holiday_in_the_wild
Miles Davis: Birth of the Cool,92,82,1h 55m,,,,,"Mar 10, 2020","['music', 'documentary']","['Michael Kantor', 'Terry Shand', 'Jerry Henry', 'Nicole London', 'Hervé Cohen', 'Geoff Kempin', 'Henry Adebonojo', 'Mead Hunt', 'Eric Coleman', 'Stanley Nelson']",['Stanley Nelson'],https://www.rottentomatoes.com/m/miles_davis_birth_of_the_cool
Waveriders,56,59,1h 20m,,,,,"May 22, 2017","['documentary', 'biography', 'adventure']","['Joel Conroy', 'Lauren Davies', 'Nathan Nugent', 'Cillian Murphy', 'Douglas Moxon', 'Daniel Trapp', 'Margo Harkin']",['Joel Conroy'],https://www.rottentomatoes.com/m/1226720-waveriders
Booker's Place: A Mississippi Story,100,85,1h 30m,,EyePatch Productions,"Apr 25, 2012",,"Jan 22, 2016","['history', 'mysteryandthriller', 'documentary', 'drama']","['Steven C. Beer', 'David Zellerford', 'Joe Victorine', 'Raymond De Felitta', 'Hodding Carter III', 'David Cieri', 'George Gross', 'Frank De Felitta', 'Yvette Johnson', 'Lynn Roer']",['Raymond De Felitta'],https://www.rottentomatoes.com/m/bookers_place_a_mississippi_story
Itsy Bitsy,60,27,1h 35m,,Hacienda Film Co.,"Aug 30, 2019",,"Aug 30, 2019","['mysteryandthriller', 'horror']","['Arman Darbo', 'Garry Schyman', 'Adam W. Rosen', 'Jason Alvino', 'Marcos Durian', 'Bruce Davison', 'Eileen Dietz', 'Treva Etienne', 'Micah Gallo', 'Elizabeth Roberts', 'Chloe Perrin', 'Bryan Dick', 'Matty Cardarople', 'Brandon K. Hogan', 'Denise Crosby', 'Geno Tazioli', 'Matt Latham', 'Grace Shen', 'Cory Neal']",['Micah Gallo'],https://www.rottentomatoes.com/m/itsy_bitsy_2019
All the Devil's Men,23,23,1h 40m,R,Saban Films,"Dec 7, 2018",,"Dec 11, 2018","['action', 'mysteryandthriller']","['Perry Fitzpatrick', 'Yavor Baharov', 'Joseph Millson', 'Matthew Hope', 'Sylvia Hoeks', 'Ben Loyd-Holmes', 'Gbenga Akinnagbe', 'Milo Gibson', 'William Fichtner', 'Rinat Khismatouline', 'Elliot Cowan']",['Matthew Hope'],https://www.rottentomatoes.com/m/all_the_devils_men
Son of Batman,64,72,1h 14m,PG-13,DC Entertainment,,,"May 22, 2016","['action', 'animation', 'adventure']","[""Jason O'Mara"", 'Xander Berkeley', 'Bruce Thomas', 'Sean Maher', 'David McCallum', 'Thomas Gibson', 'Stuart Allan', 'Ethan Spaulding', 'Giancarlo Esposito', 'Joe R. Lansdale', 'Morena Baccarin']",['Ethan Spaulding'],https://www.rottentomatoes.com/m/son_of_batman
Elektra Luxx,24,19,1h 38m,R,Gato Negro Films,"Mar 11, 2011",,"Apr 19, 2016",['comedy'],"['Joseph Gordon-Levitt', 'Cory Speer', 'Lisa Bromwell', 'Vincent Kartheiser', 'Adrianne Palicki', 'Marley Shelton', 'Mary Vernieu', 'Timothy Olyphant', 'Malin Akerman', 'Kathleen Quinlan', 'Emmanuelle Chriqui', 'Sebastian Gutierrez', 'Robyn Hitchcock', 'Joseph Edelson', 'Justin Kirk', 'Carla Gugino', 'Denise Wingate', 'Cale Finot']",['Sebastian Gutierrez'],https://www.rottentomatoes.com/m/elektra-luxx
Wake Wood,80,39,1h 30m,R,Exclusive Film Distribution,,,"Nov 2, 2016","['mysteryandthriller', 'drama', 'horror']","['Timothy Spall', 'Amelia Crowley', 'John McDonnell', 'John Hand', 'Eva Birthistle', 'Brian Gleeson', 'Ella Connolly', 'Marc Schipper', 'Dan Gordon', 'Tim Murrell', 'David Keating', 'Simon Oakes', 'Brendan McCarthy', 'Chris Maris', 'Aidan Gillen', 'Ruth McCabe']",['David Keating'],https://www.rottentomatoes.com/m/wake-wood
Tomboy,96,82,1h 24m,,,,,"Feb 5, 2015",['drama'],"['Cheyenne Lainé', 'Noah Vero', 'Christel Baras', 'Julien Lacheray', 'Sophie Cattani', 'Rayan Boubekri', 'Crystel Fournier', 'Céline Sciamma', 'Zoé Héran', 'Bénédicte Couvreur', 'Jean-Baptiste de Laubier', 'Malonn Lévana', 'Yohan Vero', 'Mathieu Demy', 'Jeanne Disson']",['Céline Sciamma'],https://www.rottentomatoes.com/m/tomboy_2011
Blood Honey,25,72,1h 35m,,Lumanity Productions,,,"Jan 29, 2018",['mysteryandthriller'],"['Kenneth Mitchell', 'Michael Hanrahan', 'Morgan Kelly', 'Dan Peel', 'Marina Cordoni', 'Scott McCord', 'Jeff Kopas', 'Shenae Grimes-Beech', 'Gil Bellows', 'Doug Taylor', 'Ryan Reaney', 'D. Gregor Hagey', 'Don McKellar', 'Natalie Brown', 'Matt Gordon', 'Robert Budreau', 'Rosemary Dunsmore']",['Jeff Kopas'],https://www.rottentomatoes.com/m/blood_honey
What Richard Did,91,60,1h 27m,,Element Pictures,,,"Feb 8, 2017",['drama'],"['Lars Mikkelsen', 'Ed Guiney', 'Jack Reynor', 'Gavin Drea', 'Lenny Abrahamson', 'Malcolm Campbell', 'Patrick Gibson', 'Sam Keeley', 'Padraic Delaney', 'Lorraine Pilkington', 'David Grennan', 'Roisin Murphy', 'Stephen Rennicks', 'Nathan Nugent', 'Fionn Walton', ""Liana O'Cleirigh"", 'Andrew Lowe', 'Stephanie Clerkin', 'Leonie Pendergast', 'Louise Kiely']",['Lenny Abrahamson'],https://www.rottentomatoes.com/m/what_richard_did
The Wicker Tree,27,10,1h 36m,R,British Lion Film Corporation,"Jan 27, 2012",,"Mar 27, 2017","['mysteryandthriller', 'horror']","['Kate Plantin', 'Honeysuckle Weeks', 'Robin Hardy', 'Peter Snell', 'Ailidh Mackay', 'Keith Warwick', 'Graham McTavish', 'James Mapes', 'Christopher Lee', 'Clive Russell', 'Ray Lau', 'Brittania Nicol', 'Peter Watson-Wood', 'Sean Barton', 'Jan Pester', 'Henry Garrett', 'Jacqueline Leonard', 'Alastair Gourlay', 'John Scott']",['Robin Hardy'],https://www.rottentomatoes.com/m/cowboys-for-christ
Apollo 18,23,23,1h 26m,PG-13,Dimension Films,"Sep 2, 2011",,"Mar 15, 2017","['scifi', 'mysteryandthriller']","['Kurt Runte', 'Jan Bos', 'Gonzalo López-Gallego', 'Michele Wolkoff', 'Shawn Williamson', 'Andrew Airlie', 'Kim Wylie', 'Cody Zwieg', 'Warren Christie', 'Ryan Robbins', 'Bob Weinstein', 'Mike Kopsa', 'Timur Bekmambetov', 'Harvey Weinstein', 'Ron Schmidt', 'José David Montero', 'Lloyd Owen', 'Brian Miller']",['Gonzalo López-Gallego'],https://www.rottentomatoes.com/m/apollo_18
Main Street,13,11,1h 32m,PG,Annapurna Pictures,"Sep 9, 2011",,"Mar 6, 2016",['drama'],"['Amber Tamblyn', 'Orlando Bloom', 'Isiah Whitlock Jr.', 'Megan Ellison', 'Ellen Burstyn', 'Liam Ferguson', 'Spencer Silna', 'Colin Firth', 'Patricia Clarkson', 'John Doyle', 'Andrew McCarthy', 'Horton Foote', 'Margo Martindale', 'Jonah M. Hirsch', 'Tom Wopat']",['John Doyle'],https://www.rottentomatoes.com/m/main_street
Batman Ninja,82,61,1h 25m,PG-13,Warner Bros. Japan LLC,,,"Apr 9, 2018","['action', 'anime', 'adventure']","['Adam Croasdell', 'Kazuki Nakashima', 'Eric Garcia', 'Michael E. Uslan', 'Benjamin Melniker', 'Roger Craig Smith', 'Junpei Mizusaki', 'Eric Bauza', 'Tony Hale', 'Tom Kenny', 'Kamikaze Douga', 'Grey DeLisle', 'Leo Chu', 'Tara Strong', 'Will Friedle']",['Junpei Mizusaki'],https://www.rottentomatoes.com/m/batman_ninja
Hunt for the Wilderpeople,97,91,1h 41m,PG-13,Defender Films,"Jun 24, 2016",,"Sep 20, 2016","['comedy', 'adventure']","['James Wallace', 'Cohen Holloway', 'Lachlan Milne', 'Luke Haigh', 'Rhys Darby', 'Leanne Saunders', 'Julian Dennison', 'Matt Noonan', 'Oscar Kightley', 'Tioreore Ngatai-Melbourne', 'Rachel House', 'Rima Te Wiata', 'Taika Waititi', 'Carthew Neal', 'Stan Walker', 'Sam Neill', 'Charlie McClellan']",['Taika Waititi'],https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople
The Eagle Huntress,93,86,1h 27m,G,Sony Pictures Classics,"Nov 2, 2016",,"Feb 7, 2017",['documentary'],"['Marc H. Simon', 'Morgan Spurlock', 'Stacey Reiss', 'Otto Bell', 'Jeremy Chilnick', 'Aisholpan Nurgaiv', 'Dan Cogan', 'Sharon Chang', 'Regina Kulik Scully', 'Daisy Ridley', 'Rys Nurgaiv']",['Otto Bell'],https://www.rottentomatoes.com/m/the_eagle_huntress
Inside Game,38,73,1h 37m,R,Tadross Media Group,"Nov 1, 2019",,"Feb 1, 2020",['drama'],"['Eric Mabius', 'Reggie Lee', 'Paul Martino', 'Arthur Nascarella', 'Andy Callahan', 'Randall Batinkoff', 'Betsy Beutler', 'Scott Wolf', 'Michael Pierce', ""Michael O'Keefe"", 'Will Sasso', 'Lindsey Morgan']",['Randall Batinkoff'],https://www.rottentomatoes.com/m/inside_game
Bride Flight,68,75,2h 10m,R,IDTV,"Jun 3, 2011",,"Aug 10, 2016",['drama'],"['Jeannot Sanavia', 'Willeke van Ammelrooy', 'Elise Schaap', 'Karina Smulders', 'Pleuni Touw', 'Ben Sombogaart', 'Rutger Hauer', 'Marieke van der Pol', 'Waldemar Torenstra', 'Anna Drijver', 'Hanneke Niens', 'Anton Smit', 'Petra Laseur']",['Ben Sombogaart'],https://www.rottentomatoes.com/m/bride_flight
The Ravenous,88,59,1h 43m,,La Maison de Prod,,,"Mar 2, 2018","['mysteryandthriller', 'horror']","['Julie Charland', 'Micheline Lanctôt', 'Steeve Desrosiers', 'Charlotte St-Martin', 'Stéphanie Morissette', 'Robert Brouillette', 'Monia Chokri', 'Pierre-Philippe Côté', 'Didier Lucien', 'Philippe Lord', 'Édouard Tremblay-Grenier', 'Francis Cloutier', 'André-Line Beauparlant', 'Marc-André Grondin', 'Marie-Ginette Guay', 'Lucie Lachapelle', 'Luc Proulx', 'Brigitte Poupart', 'Robin Aubert']",['Robin Aubert'],https://www.rottentomatoes.com/m/ravenous_2018
A Warrior's Heart,17,54,1h 38m,PG,California Pictures,"Dec 2, 2011",,"Jan 25, 2017","['drama', 'romance']","['Mike Sears', 'Marc Spizzirri', 'Gabrielle Anwar', 'Ed Richardson', 'Adam Beach', 'William Mapother', 'Tommy Johnson', 'Chord Overstreet', 'Kellan Lutz', 'Aaron Hill', 'Bob Bassett', 'Steven Istock', 'Martin Dugard', 'Chris Potter', 'Ashley Greene', 'James Patterson']",['Mike Sears'],https://www.rottentomatoes.com/m/a_warriors_heart
Remember,69,79,1h 35m,R,Serendipity Point Films,"Mar 11, 2016",,"Aug 15, 2016","['drama', 'mysteryandthriller']","['Dean Norris', 'Bruno Ganz', 'Benjamin August', 'Martin Landau', 'Lawrence Guterman', 'James Cade', 'Ari Lantos', 'Sofia Wells', 'Henry Czerny', 'Atom Egoyan', 'Peter DaCunha', 'Heinz Lieven', 'Mark Musselman', 'Jeff Sagansky', 'Jürgen Prochnow', 'Anant Singh', 'Christopher Plummer', 'D. Matt Geller', 'Moisés Cosío', 'Robert Lantos']",['Atom Egoyan'],https://www.rottentomatoes.com/m/remember_2016
No Holds Barred,10,34,1h 31m,PG-13,New Line Cinema,,,"Nov 30, 2016",['action'],"['Hulk Hogan', 'Stan Hansen', 'Jim Johnston', 'Tommy ""Tiny"" Lister', 'Mark Pellegrino', 'Charles Levin', 'Kurt Fuller', 'Armelia McQueen', 'James Shanahan', 'Karen Rea', 'Vince McMahon', 'Frank Beascoechea', 'Joan Severance', 'Thomas J. Wright', 'Michael I. Rachmil', 'Bill Henderson', 'Tom Pryor', 'David Paymer']",['Thomas J. Wright'],https://www.rottentomatoes.com/m/no_holds_barred
She Dies Tomorrow,83,23,1h 24m,R,Rustic Films,"Jul 31, 2020",,"Aug 7, 2020","['drama', 'mysteryandthriller']","['Mondo Boys', 'Josh Lucas', 'Adam Wingard', 'Amy Seimetz', 'Jay Keitel', 'Kate Lyn Sheil', 'Jane Adams', 'Justin Benson', 'Madison Calderon', 'Ariel Vida', 'Kentucker Audley', 'David Lawson Jr.', 'Kate Brokaw', 'Katie Aselton', 'Chris Messina', 'Aaron Moorhead', 'Tunde Adebimpe']",['Amy Seimetz'],https://www.rottentomatoes.com/m/she_dies_tomorrow
The Men Who Stare at Goats,51,39,1h 33m,R,Smoke House,"Nov 6, 2009",,"Mar 31, 2017",['comedy'],"['George Clooney', 'Robert Elswit', 'Ewan McGregor', 'Grant Heslov', 'Paul Lister', 'Barbara A. Hall', 'Peter Straughan', 'Tatiana S. Riegel', 'Waleed Zuaiter', 'Robert Patrick', 'Stephen Root', 'Glenn Morshower', 'Rebecca Mader', 'Jeff Bridges', 'Stephen Lang', 'James Holt', 'David M. Thompson', 'Kevin Spacey']",['Grant Heslov'],https://www.rottentomatoes.com/m/men_who_stare_at_goats
This Is the End,83,71,1h 47m,R,Point Grey,"Jun 12, 2013",,"Feb 1, 2015","['comedy', 'fantasy']","['Nicole Brown', 'Jonah Hill', 'Michael Cera', 'Seth Rogen', 'David Krumholtz', 'Emma Watson', 'James Franco', 'James Weaver', 'Danny McBride', 'Evan Goldberg', 'Jason Stone', 'Mindy Kaling', 'Craig Robinson', 'Nathan Kahane', 'Jay Baruchel']","['Evan Goldberg', 'Seth Rogen']",https://www.rottentomatoes.com/m/this_is_the_end
Fist Fight,25,40,1h 31m,R,Village Roadshow Pictures,"Feb 17, 2017",,"May 16, 2017",['comedy'],"['Dean Norris', 'Ice Cube', 'Dennis Haysbert', 'Max Greenfield', 'Charlie Day', 'Shawn Levy', 'Kumail Nanjiani', 'JoAnna Garcia Swisher', 'Dan Cohen', 'Tracy Morgan', 'Samuel J. Brown', 'Van Robichaux', 'Toby Emmerich', 'Evan Susser', 'Richard Brener', 'Richie Keen', 'John Rickard', 'Alexa Nisenson', 'Christina Hendricks', 'Jillian Bell']",['Richie Keen'],https://www.rottentomatoes.com/m/fist_fight_2017
Acts of Violence,0,30,1h 26m,R,Lionsgate,"Jan 12, 2018",,"Jan 12, 2018","['action', 'mysteryandthriller']","['Sean Brosnan', 'Randall Emmett', 'Mark Stewart', 'Mike Epps', 'Vance Owen', 'Marc Goldberg', 'Sophia Bush', 'Anthony Callie', 'Ashton Holmes', 'Shawn Ashmore', 'George Furla', 'Brett Donowho', 'Tiffany Brouwer', 'Brandon K. Hogan', 'Ted Fox', 'Jenna Kelly', 'Melissa Bolona', 'Nicolas Aaron Mezzanatto', 'Bruce Willis', 'Cole Hauser']",['Brett Donowho'],https://www.rottentomatoes.com/m/acts_of_violence_2018
"Lo and Behold, Reveries of the Connected World",93,68,1h 38m,PG-13,Saville Productions,"Aug 19, 2016",,"Nov 23, 2016",['documentary'],"['Marco Capalbo', 'Werner Herzog', 'Rupert Maconick', 'Tennille Teague', 'Jim McNiel', 'Peter Zeitlinger', 'Dave Arnold', 'David Moore']",['Werner Herzog'],https://www.rottentomatoes.com/m/lo_and_behold_reveries_of_the_connected_world
"Roman J. Israel, Esq.",55,53,1h 57m,PG-13,Cross Creek Pictures,"Nov 22, 2017",,"Jan 26, 2018","['crime', 'drama', 'mysteryandthriller']","['Colin Farrell', 'Amanda Warren', 'Hugo Armstrong', 'Sam Gilroy', 'Amari Cheatom', 'Denzel Washington', 'Jennifer Fox', 'Tony Plana', 'Carmen Ejogo', 'Lynda Gravátt', 'Todd Black', 'Poppy Hanks', 'Kim Roth', 'Betsy Danbury', 'Brian Oliver', 'Dan Gilroy', 'Charles D. King', 'DeRon Horton']",['Dan Gilroy'],https://www.rottentomatoes.com/m/roman_j_israel_esq
Hall Pass,33,40,1h 46m,R,Conundrum Entertainment,"Feb 25, 2011",,"May 23, 2016",['comedy'],"['Stephen Merchant', 'Pete Jones', 'Owen Wilson', 'Larry Joe Campbell', 'Tyler Hoechlin', 'Jason Sudeikis', 'Bruce Thomas', 'Richard Brener', 'Bradley Thomas', 'Jenna Fischer', 'Toby Emmerich', 'Richard Jenkins', 'Bobby Farrelly', 'Peter Farrelly', 'Christina Applegate', 'Nicky Whelan']","['Bobby Farrelly', 'Peter Farrelly']",https://www.rottentomatoes.com/m/hall_pass
Love Is Strange,93,66,1h 34m,R,Parts & Labor,"Aug 22, 2014",,"Jan 14, 2016","['gayandlesbian', 'drama']","['Blythe Robertson', 'Darren E. Burrows', 'John Cullum', 'Lucas Joaquin', 'Alfred Molina', 'Marisa Tomei', 'Manny Perez', 'Christian Coulson', 'Jayne Baron Sherman', 'Harriet Sansom Harris', 'Ira Sachs', 'Jay Van Hoy', 'Ali Betil', 'Cheyenne Jackson', 'John Lithgow', 'Charlie Tahan', 'Mauricio Zacharias', 'Lars Knudsen']",['Ira Sachs'],https://www.rottentomatoes.com/m/love_is_strange_2014
Wild Card,31,29,1h 32m,R,Sierra/Affinity,"Jan 30, 2015",,"May 22, 2016","['action', 'crime', 'drama', 'mysteryandthriller']","['Steven Chasman', 'Milo Ventimiglia', 'Cassian Elwes', 'Angela Kerecz', 'William Goldman', 'Hope Davis', 'Stanley Tucci', 'Max Casella', 'Shelly Johnson', 'Brian Pitt', 'Jib Polhemus', 'Nick Meyer', 'Sofía Vergara', 'Jason Statham', 'Anne Heche', 'Michael Angarano', 'Robert Earl', 'Simon West', 'Marc Schaberg', 'Jason Alexander']",['Simon West'],https://www.rottentomatoes.com/m/heat_2013
Under the Shadow,99,73,1h 24m,PG-13,Wigwam Films,"Oct 7, 2016",,"Jan 17, 2017","['mysteryandthriller', 'horror']","['Soussan Farrokhnia', 'Lucan Toh', 'Avin Manshadi', 'Patrick Fischer', 'Behi Djanati Atai', 'Oliver Roskill', 'Bobby Naderi', 'Hamid Djavadan', 'Arash Marandi', 'Khaled Haddad', 'Gavin Cullen', 'Nick Harbinson', 'Emily Leo', 'Babak Anvari', 'Narges Rashidi', 'Sanjay Shah', 'Ray Haratian']",['Babak Anvari'],https://www.rottentomatoes.com/m/under_the_shadow
Miss Fisher and the Crypt of Tears,67,,1h 41m,,,"Mar 13, 2020",,"May 22, 2020","['adventure', 'mysteryandthriller']","['Miriam Margolyes', 'Ashleigh Cummings', 'Ian Bliss', 'Essie Davis', 'Daniel Lapaine', 'Hugo Johnstone-Burt', 'Deborah Cox', 'John Waters', 'Rupert Penry-Jones', 'Nathan Page', 'Jacqueline McKenzie', 'Tony Tilse']",['Tony Tilse'],https://www.rottentomatoes.com/m/miss_fisher_and_the_crypt_of_tears
Reunion,83,0,1h 35m,,Water's End Productions,"Feb 5, 2021",,"Feb 5, 2021","['mysteryandthriller', 'horror']","['Cohen Holloway', 'Gina Laverty', 'Ainsley Gardiner', 'Georgina Allison Conder', 'Mike S. Ryan', 'Susanne Filkins', 'Emma Draper', 'Nancy Brunning', 'Tom Dolby', 'Giles Edwards', 'Nadia Maxwell', 'Nicola Goelzhaeuser', 'Jake Mahaffy', 'Ava Keane', 'Julia Ormond', 'John Bach']",['Jake Mahaffy'],https://www.rottentomatoes.com/m/reunion_2021
The New Daughter,33,24,1h 48m,PG-13,Gold Circle Films,"Dec 18, 2009",,"Apr 1, 2017","['horror', 'mysteryandthriller']","['Chris Shriver', 'Sandra Ellis Lafferty', 'Guy Perry', 'Tom Elkins', 'Checco Varese', 'Kevin Costner', 'Paul Brooks', 'James Gammon', 'Gattlin Griffith', 'Chuck Potter', 'Margaret Anne Florence', 'Ivana Baquero', 'Samantha Mathis', 'Noah Taylor', 'Luis Alejandro Berdejo', 'John Travis', 'Eyde Belasco', 'Erik Palladino', 'Robb Sullivan', 'Scott Niemeyer']",['Luis Alejandro Berdejo'],https://www.rottentomatoes.com/m/new_daughter
180 Degrees South,80,85,1h 25m,,,"May 21, 2010",,"Nov 18, 2016",['documentary'],"['Tim Lynch', 'Chris Malloy', 'Emmett Malloy']",['Chris Malloy'],https://www.rottentomatoes.com/m/180-south
Streetlight Harmonies,100,100,1h 24m,,Footnote Films,,,"Mar 28, 2020","['music', 'documentary']","['Anthony Gourdine', 'Christopher Martin', 'Tim Headington', 'Brian McKnight', 'Brent Wilson', 'Gabe Lopez', 'George Bellias', 'Dan Braun', 'Theresa Steele Page', 'Lance Bass']",['Brent Wilson'],https://www.rottentomatoes.com/m/streetlight_harmonies
Standoff,56,44,1h 25m,R,Goldrush Entertainment,"Feb 26, 2016",,"Apr 12, 2016",['mysteryandthriller'],"['Laurence Fishburne', 'Jim Watson', 'Susan Maggi', 'Thomas Jane', 'Ton Pascal', 'Joanna Douglas', 'Austin Wintory', 'Tove Christensen', 'Ella Ballentine', 'Laura de Carteret', 'Adam Alleca', 'Zoran Popovic', 'Eric Gozlan', 'Michael Wexler', 'Ted Atherton', 'Lee Clay', 'John Tench']",['Adam Alleca'],https://www.rottentomatoes.com/m/standoff_2016
A Kid Like Jake,49,45,1h 32m,R,IFC Films,"Jun 1, 2018",,"Jun 5, 2018",['drama'],"['Claire Danes', 'Amy Landecker', 'David Gendron', 'Rhys Bhatia', 'Silas Howard', 'David Bernon', 'Jackie Bernon', 'Octavia Spencer', 'Daniel Pearle', 'Ann Dowd', 'Hilary Davis', 'Steven Capitano Calitri', 'Jim Parsons', 'Eric Norsoph', 'Priyanka Chopra', 'Todd Spiewak', 'Leo James Davis']",['Silas Howard'],https://www.rottentomatoes.com/m/a_kid_like_jake
Investigation of a Citizen Above Suspicion,100,95,1h 55m,R,,"Dec 20, 1970",,"Feb 7, 2014","['crime', 'drama']","['Salvo Randone', 'Arturo Dominici', 'Florinda Bolkan', 'Orazio Orlando', 'Sergio Tramonti', 'Daniele Senatore', 'Gian Maria Volonte', 'Gianni Santuccio', 'Elio Petri']",['Elio Petri'],https://www.rottentomatoes.com/m/investigation_of_a_citizen_above_suspicion
Please Stand By,56,69,1h 33m,PG-13,2929 Productions,"Jan 26, 2018",,"Jan 26, 2018","['comedy', 'drama']","['Toni Collette', 'Jessica Rothe', 'Daniel Dubiecki', 'William Stanford Davis', 'Dakota Fanning', 'Ben Lewin', 'Michael Golamco', 'Tony Revolori', 'Lara Alameddine', 'Alice Eve', 'Michael Stahl-David', 'River Alexander', 'Todd Wagner', 'Geoffrey Simpson', 'Patton Oswalt']",['Ben Lewin'],https://www.rottentomatoes.com/m/please_stand_by_2018
5 Broken Cameras,96,88,1h 30m,,,"May 3, 2012",,"Mar 23, 2017","['documentary', 'war']","['Emad Burnat', 'Véronique Lagoarde-Ségot', 'Le Trio Joubran', 'Yisrael Puterman', 'Guy Davidi']","['Emad Burnat', 'Guy Davidi']",https://www.rottentomatoes.com/m/5_broken_cameras_2012
Spinning Plates,86,84,1h 35m,,,"Oct 25, 2013",,"Aug 10, 2016",['documentary'],"['Miranda Bailey', 'Jacqueline Lesko', 'Philip Rosenthal', 'Taz Goldstein', 'Matthew Leutwyler', 'Grant Achatz', 'Sim Sarna', 'Ed Shearmur', 'Thomas Keller', 'Joseph Levy']",['Joseph Levy'],https://www.rottentomatoes.com/m/spinning_plates
Journey to the West: Conquering the Demons,94,69,1h 50m,PG-13,,"Mar 7, 2014",,"Aug 10, 2016","['comedy', 'fantasy', 'adventure']","['Sanping Han', 'Ping Dong', 'Bingqiang Chen', 'Shu Qi', 'Chi-kin Kwok', 'Yun Wang', 'Show Luo', 'Yu Xing', 'Shing-Cheung Lee', 'Sihan Cheng', 'Stephen Chow', 'Xin Huo', 'Ellen Eliasoph', 'Huang Bo', 'Zhang Wen']","['Chi-kin Kwok', 'Stephen Chow']",https://www.rottentomatoes.com/m/journey_to_the_west_2014
First Kill,15,25,1h 37m,R,Highland Film Group,"Jul 21, 2017",,"Jul 21, 2017","['action', 'crime', 'drama', 'mysteryandthriller']","['Gethin Anthony', 'Steven C. Miller', 'Randall Emmett', 'Shea Buckner', 'Mark Stewart', 'Scott Nickoley', 'William DeMeo', 'Chelsea Mee', 'Tyler Jon Olson', 'Hayden Christensen', 'George Furla', 'Brandon Cox', 'Ryan Franks', 'Ty Shelton', 'Nick Gordon', 'Bruce Willis', 'Thomas Calderon', 'Niko Vilaivongs', 'Megan Leonard']",['Steven C. Miller'],https://www.rottentomatoes.com/m/first_kill_2017
Lucky Stiff,40,55,1h 18m,,Branded Pictures Entertainment,"Jul 24, 2015",,"Jul 24, 2015","['comedy', 'musical']","['Stephen Flaherty', 'Mary Birdsong', 'T.K. Kirkpatrick', 'Stephen Marsh', 'Mark Moran', 'Pamela Shaw', 'Greg Gardiner', 'Lynn Ahrens', 'Dominic Marsh', 'Nikki M. James', 'Trudy Ship', 'Dennis Farina', 'Kate Shindle', 'Victor Syrmis', 'Don Amendolia', 'Christopher Ashley', 'J. Todd Harris', 'Jason Alexander']",['Christopher Ashley'],https://www.rottentomatoes.com/m/lucky_stiff_2015
Black Coffee,40,56,1h 25m,PG,1555 Filmworks,"Jan 10, 2014",,"Jul 26, 2020",['romance'],"['Eric Small', 'Brely Evans', 'Gabrielle Dennis', 'Josh Ventura', 'Tiffany Hines', 'Mark Harris', 'Brett Dismuke', 'Erica Hubbard', 'Trey Haley', 'Shebeta Carter', 'Lamman Rucker', 'Keisha Kidan', 'Maisha R. Carter', 'Christian Keyes', 'Darrin Dewitt Henson', 'N.D. Brown', 'Richard Gallion']",['Mark Harris'],https://www.rottentomatoes.com/m/black_coffee_2015
Harry Potter and the Deathly Hallows: Part 1,77,85,2h 26m,PG-13,Heyday Films,"Nov 19, 2010",,"Jul 24, 2014","['fantasy', 'adventure']","['Mark Day', 'David Heyman', 'Emma Watson', 'Helena Bonham Carter', 'Lionel Wigram', 'David Barron', 'Ralph Fiennes', 'Michael Gambon', 'Eduardo Serra', 'Steve Kloves', 'Warwick Davis', 'Daniel Radcliffe', 'Robbie Coltrane', 'Stuart Craig', 'Brendan Gleeson', 'Alan Rickman', 'J.K. Rowling', 'Alexandre Desplat', 'Rupert Grint', 'David Yates']",['David Yates'],https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_1
