,title,user_rate,meta_score,certificate,run_time,genre,description
86,A Discovery of Witches,8,,TV-MA,60 min,"Drama, Fantasy, Romance","Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires."
87,American Assassin,6.2,45        ,R,111 min,"Action, Thriller","After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley."
88,FBI,6.8,,TV-14,60 min,"Action, Crime, Drama","Procedural drama about the inner workings of the New York office of the FBI, bringing to bear all the Bureau's skills, intellect and mind-blowing technology to keep New York and the country safe."
89,The Dead Don't Die,5.5,53        ,R,104 min,"Comedy, Fantasy, Horror",The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.
90,Mindhunter,8.6,,TV-MA,60 min,"Crime, Drama, Thriller","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
91,Guardians of the Galaxy,8,76        ,PG-13,121 min,"Action, Adventure, Comedy",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
92,Star Trek: Discovery,7.2,,TV-14,60 min,"Action, Adventure, Drama","Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien."
93,Captain America: Civil War,7.8,75        ,PG-13,147 min,"Action, Adventure, Sci-Fi",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
94,Keeping Faith,7.1,,Not Rated,60 min,"Drama, Mystery, Thriller","Faith, a small-town Welsh lawyer, is forced to cut short her extended maternity leave when her husband and business partner, Evan, goes missing. As the truth of his actions surface, Faith must fight to protect her family and her sanity."
95,The Dry,7,68        ,R,117 min,"Crime, Drama, Mystery",Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.
96,Kong: Skull Island,6.6,62        ,PG-13,118 min,"Action, Adventure, Fantasy","After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden."
97,Monster Hunter,5.3,45        ,PG-13,103 min,"Action, Adventure, Fantasy","When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom."
98,Jojo Rabbit,7.9,58        ,PG-13,108 min,"Comedy, Drama, War",A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.
99,Guardians of the Galaxy Vol. 2,7.6,67        ,PG-13,136 min,"Action, Adventure, Comedy","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
100,Mad Max: Fury Road,8.1,90        ,R,120 min,"Action, Adventure, Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
