,_c0,title,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genres,casts,directors,link
237,237,BarbaraRubinandtheExplodingNYUnderground,100,,1h 18m,,,"May 24, 2019",,"Dec 16, 2019",['documentary'],"{'Elizabeth Sheldon', 'Chuck Smith', 'Lee Ranaldo', 'Andy Bowley'}",{'Chuck Smith'},https://www.rottentomatoes.com/m/barbara_rubin_and_the_exploding_ny_underground
238,238,MajorArcana,88,,1h 22m,,,"Oct 9, 2020",,"Nov 6, 2020",['drama'],"{'Alan Oxman', 'Rachel Donahue', 'Josh Melrod', 'Marty Bell', 'Ujon Tokarski', 'Lane Bradbury', 'Tara Summers', 'Teo Zagar', 'Sarah Brennan Kolb', 'Alison Davis', 'Chip Davis', 'Collen Doyle'}",{'Josh Melrod'},https://www.rottentomatoes.com/m/major_arcana
239,239,HunterHunter,94,66,1h 33m,,,"Dec 18, 2020",,"Dec 18, 2020","['horror', 'mysteryandthriller']","{'Juliette Hagopian', 'Karl Thordarson', 'Camille Sullivan', 'John Gurdebeke', 'Gabriel Daniels', 'Nick Stahl', 'Summer H. Howell', 'Lauren Cochrane', 'Greg Nicod', 'Devon Sawa', 'Kevon Cronin', 'Neil Elman', 'Erik Athavale', 'Shawn Linden', 'Jade Michael', 'Peter Bevan'}",{'Shawn Linden'},https://www.rottentomatoes.com/m/hunter_hunter
240,240,ThePollinators,75,,1h 32m,,,,,"Jun 14, 2020",['documentary'],"{'Jeff Anderson', 'Maryann Frazier', 'Bret Adee', 'Reuter', 'Sally Roy', 'Alan Ard', 'Lucas Criswell', 'Douglas J. Cuomo', 'Davey Hackenberg', 'Peter Nelson', 'James Frazier', 'Leigh-Kathryn Bonner', 'Zac Browning'}",{'Peter Nelson'},https://www.rottentomatoes.com/m/the_pollinators
241,241,Maiden,98,97,1h 33m,,,"Jun 28, 2019",,"Oct 1, 2019",['documentary'],"{'Bruno De Bois', 'Victoria Gregory', 'Marie-Claude Heys', 'James Erskine', 'Nancy Harris', 'Tracy Edwards', 'Howard Gibbons', 'John Chittenden', 'Oli Harbottle', 'Katie Bryer', 'Anna Godas', 'Jo Gooding', 'Chris Openshaw', 'Samuel Sim', 'Alex Holmes', 'Angela Heath', 'Rob Manning'}",{'Alex Holmes'},https://www.rottentomatoes.com/m/maiden
242,242,HighStrungFreeDance,50,83,1h 43m,,,"Oct 11, 2019",,"Feb 4, 2020",['romance'],"{'Janeen Damian', 'Manuel Pacific', 'Viorel Sergovici', 'Nigel Lythgoe', 'Giulia Nahmany', 'Harry Jarvis', 'Thomas Doherty', 'Juliet Doherty', 'Dave Scott', 'Desmond Richardson', 'Alex Walton', 'Michael Damian', 'Jane Seymour', 'Ace Bhatti', 'Kika Markham', 'William Honeyball'}",{'Michael Damian'},https://www.rottentomatoes.com/m/high_strung_free_dance
243,243,HumanCapital,68,30,1h 37m,,,"Jul 17, 2020",,"Mar 20, 2020",['drama'],"{'Marisa Tomei', 'Alex Wolff', 'Betty Gabriel', 'Liev Schreiber', 'Christiane Seidel', 'Fredric Lehne', 'Marc Meyers', 'Matthew Stillman', 'Fabrizio Donvito', 'Maya Hawke', 'Oren Moverman', 'Ash Avildsen', 'Voula Wolf Duval', 'Celine Rattray', 'Peter Sarsgaard', 'Marco Cohen', 'Trudie Styler'}",{'Marc Meyers'},https://www.rottentomatoes.com/m/human_capital_2020
244,244,ShootingHeroin,61,95,,,,,,"Apr 3, 2020","['mysteryandthriller', 'drama', 'action']","""{""""Brian O'Halloran""""", 'Spencer T. Folmar', 'Garry Pastore'
245,245,AClearShot,0,,1h 30m,,,,,"May 28, 2020","['mysteryandthriller', 'drama']","{'Mario Van Peebles', 'Sandra Gutierrez', 'Mandela Van Peebles', 'David Fernandez Jr.', 'Hao Do', 'Jessica Meza', 'Kim Dooley', 'Nick Leisure', 'Peter Brewer', 'Marshal Hilton', 'Kevin Bach', 'Jorge Román', 'Maria Jose Castillo Baro', 'Abigail Carillo', 'Tony Dew'}",{'Nick Leisure'},https://www.rottentomatoes.com/m/a_clear_shot
246,246,TheKindnessofStrangers,17,65,1h 52m,,,"Dec 6, 2019",,"Feb 14, 2020",['drama'],"{'Angela Thompson', 'Charles de Rosen', 'Tahar Rahim', 'Malene Blenkov', 'Caleb Landry Jones', 'Cam McLauchlin', 'Bill Nighy', 'Andrea Riseborough', 'Jay Baruchel', 'Tyson Bidner', 'David Dencik', 'Lone Scherfig', 'Sandra Cunningham', 'Per Fly', 'Mark Beilby', 'Zoe Kazan', 'Sebastian Blenkov', 'Esben Smed'}",{'Lone Scherfig'},https://www.rottentomatoes.com/m/the_kindness_of_strangers_2019
247,247,MikeBirbigliaTheNewOne,100,89,1h 25m,,,,,"Nov 26, 2019","['standup', 'comedy']","{'Mike Birbiglia', 'Seth Barrish'}",{'Seth Barrish'},https://www.rottentomatoes.com/m/mike_birbiglia_the_new_one
248,248,SlaytheDragon,100,72,1h 41m,,,,,"Apr 3, 2020",['documentary'],"{'Sam Russell', 'Chris Durrance', 'Jeff Skoll', 'Diane Weyermann', 'William Von Mueffling', 'Gary Lionelli', 'Seth Bomse', 'Barak Goodman'}","{'Chris Durrance,                                                     Barak Goodman'}",https://www.rottentomatoes.com/m/slay_the_dragon
249,249,Underwater,47,60,1h 35m,,,"Jan 10, 2020",,"Apr 14, 2020","['action', 'horror', 'mysteryandthriller', 'scifi']","{'John Gallagher Jr.', 'Tonia Davis', 'Kevin Halloran', 'Jenno Topping', 'Mamoudou Athie', 'William Eubank', 'Vincent Cassel', 'Bojan Bazelli', 'Fiona Rene', 'Peter Chernin', 'Adam Cozad', 'T.J. Miller', 'Todd E. Miller', 'Kristen Stewart', 'Amanda Troop', 'Brian Berdan', 'Jessica Henwick', 'Gunner Wright', 'Brian Duffield'}",{'William Eubank'},https://www.rottentomatoes.com/m/underwater_2020
250,250,HourShift,78,45,1h 28m,,,"Oct 2, 2020",,"Oct 2, 2020","['horror', 'mysteryandthriller', 'comedy']","{'Chloe Farnworth', 'Brea Grant', 'Christina McLarty Arquette', 'Jordan Wayne Long', 'Brooke Seguin', 'Nikea Gamby-Turner', 'Mick Foley', 'Matt Glass', 'Gypsy Taylor', 'Tara Perry', 'Kit Williamson', 'Angela Bettis', 'David Arquette'}",{'Brea Grant'},https://www.rottentomatoes.com/m/12_hour_shift
251,251,AfterWeCollided,14,93,1h 47m,,,"Oct 23, 2020",,"Oct 23, 2020","['drama', 'romance']","{'Courtney Solomon', 'Andrew Panay', 'Mario Celaya', 'Anna Todd', 'Dylan Arnold', 'Hero Fiennes-Tiffin', 'Rob Estes', 'Jennifer Gibgot', 'Brian Pitt', 'Josephine Langford', 'Dylan Sprouse', 'Candice King', 'Mark Canton', 'Roger Kumble', 'Louise Lombard', 'Samuel Larsen', 'Nicolas Chartier'}",{'Roger Kumble'},https://www.rottentomatoes.com/m/after_we_collided
252,252,TheBigUgly,41,86,1h 46m,,,,,"Jul 31, 2020","['crime', 'drama']","""{'Ron Perlman', 'Vinnie Jones', 'Leven Rambin', 'Joelle Carter', 'Nicholas Braun', 'Jeremy Osbern', 'Lenora Crichlow', 'Elyse Levesque', 'Malcolm McDowell', 'Scott Wiper', """"Karri O'Reilly""""", 'Tarquin Pack'," 'Josh Crook'}"""
253,253,LetItSnow,81,45,1h 33m,,,,,"Nov 8, 2019","['gayandlesbian', 'other', 'romance']","{'Matthew Noszka', 'Liv Hewson', 'Jacob Batalon', 'Luke Snellin', 'Dylan Clark', 'Isabela Merced', 'Victoria Strouse', 'Odeya Rush', 'Joan Cusack', 'Anna Akana', 'Keegan DeWitt', 'Kiernan Shipka', 'Evan Henke', 'Alexa Faigen', 'Toby Corbett', 'Shameik Moore', 'Beau Bauman', 'Brendan Ferguson', 'Jeff Cutter', 'Mitchell Hope'}",{'Luke Snellin'},https://www.rottentomatoes.com/m/let_it_snow_2019
254,254,MurdertoMercyTheCyntoiaBrownStory,79,48,1h 37m,,,,,"Apr 29, 2020",['documentary'],{'Daniel H. Birman'},{'Daniel H. Birman'},https://www.rottentomatoes.com/m/murder_to_mercy_the_cyntoia_brown_story
255,255,Cunningham,89,83,1h 33m,,,"Dec 13, 2019",,"Jan 3, 2020","['biography', 'documentary', 'music']","{'Dylan Crossman', 'Stephanie Dillon', 'Jennifer Goggans', 'Julie Cunningham', 'Alla Kovgan', 'Kelly Gilpatrick', 'Oli Harbottle', 'Lindsey Jones', 'John Cage', 'Ashley Chen', 'Andreas Roald', 'Ilann Girard', 'Helge Albers', 'Brandon Collwes', 'Elizabeth Delude-Dix', 'Carolyn Brown'}",{'Alla Kovgan'},https://www.rottentomatoes.com/m/cunningham
256,256,WidowofSilence,92,,1h 25m,,,"Jul 10, 2020",,"Jul 10, 2020",['drama'],"{'Bilal Ahmad', 'Zaba Banoo', 'Noorjahan', 'Anthony Joseph', 'Mohammad Reza Jahanpanah', 'Shilpi Marwaha', 'Praveen Morchhale', 'Ajay Chourey'}",{'Praveen Morchhale'},https://www.rottentomatoes.com/m/widow_of_silence
257,257,TenMinutestoMidnight,85,46,1h 13m,,,"Sep 17, 2020",,"Jan 19, 2021","['horror', 'mysteryandthriller']","{'Nicholas Tucci', 'Carson Bloomquist', 'Gyom Amphoux', 'Cory Asinofsky', 'Thomson Nguyen', 'Alice Kremelberg', 'Adam Weppler', 'Missy DiPiero', 'Caroline Williams', 'William Youmans', 'Nicole Kang', 'Erik Bloomquist', 'Martin Sola'}",{'Erik Bloomquist'},https://www.rottentomatoes.com/m/ten_minutes_to_midnight
258,258,BillTedFacetheMusic,82,68,1h 31m,,,"Aug 28, 2020",,"Sep 1, 2020","['adventure', 'fantasy', 'comedy']","{'Samara Weaving', 'David Haring', 'Kristen Schaal', 'Steve Ponce', 'Patrick W. Dugan', 'Anthony Carrigan', 'Keanu Reeves', 'Alex Lebovici', 'Scott Kroopf', 'William Sadler', 'Ed Solomon', 'Steven Soderbergh', 'Erinn Hayes', 'Alex Winter', 'Jayma Mays', 'Amy Stoch', 'Chris Matheson', 'Dean Parisot', 'Brigette Lundy-Paine'}",{'Dean Parisot'},https://www.rottentomatoes.com/m/bill_and_ted_face_the_music
259,259,Edie,62,73,1h 42m,,,"Sep 6, 2019",,"Dec 3, 2019",['drama'],"""{'Chris Richmond', 'Wendy Morgan', 'Sheila Hancock', 'Tanya Winsor', 'Shaun Cowan', """"Elizabeth O'Halloran""""", 'Paul Brannigan', 'Mark Stothert'
260,260,TheDarkRed,78,61,1h 41m,,,,,"Mar 6, 2020","['horror', 'mysteryandthriller']","{'Conal Byrne', 'Dan Bush', 'Jill Jane Clements', 'April Billingsley', 'Kelsey Scott', 'John Curran', 'Rhoda Griffis'}",{'Dan Bush'},https://www.rottentomatoes.com/m/the_dark_red
261,261,GuestHouse,0,43,1h 24m,,,,,"Sep 4, 2020",['comedy'],"{'Mikaela Hoover', 'Miles Barken', 'Billy Zane', 'Pauly Shore', 'Bobby Lee', 'Scott Clayton', 'Tara L. Craig', 'Aimee Teegarden', 'Sean Bishop', 'Troy Duffy', 'Mike Castle', 'Thor Wixom', 'Steve-O', 'Sam Macaroni', 'Lou Ferrigno Jr.'}",{'Sam Macaroni'},https://www.rottentomatoes.com/m/guest_house
262,262,DoomAnnihilation,43,15,1h 37m,,,,,"Oct 1, 2019","['scifi', 'horror', 'action']","{'James Weber Brown', 'Chidi Ajufo', 'Ogden Gavanski', 'Alexander Krumov', 'Gavin Brocker', 'Tony Giglio', 'Lorenzo di Bonaventura', 'Peter Mergus', 'Hari Dhillon', 'Amy Manson', 'Luke Allen-Gale', 'Gillian Hawser', 'Clayton Adams', 'Nina Bergman', 'Dominic Mafham', 'Amer Chadha-Patel'}",{'Tony Giglio'},https://www.rottentomatoes.com/m/doom_annihilation
263,263,TheSonata,50,61,1h 28m,,,,,"Dec 24, 2019","['horror', 'mysteryandthriller']","{'Christopher Brand', 'Matt Barber', 'Catherine Schaub-Abkarian', 'James Kermack', 'Ron Bradley', 'Rodolphe Sanzé', 'Fabrice Smadja', 'Rutger Hauer', 'Freya Tingley', 'Bruce Davison', 'Simon Akbarian', 'Andrew Desmond', 'Laurent Fumeron', 'Matthew Bradley', 'Daniel Goroshko', 'Sergey Selyanov', 'James Faulkner', 'Julien Loeffler'}",{'Andrew Desmond'},https://www.rottentomatoes.com/m/the_sonata
264,264,IveGotIssues,67,,1h 33m,,,,,"Sep 15, 2020","['drama', 'comedy']","{'Scott Colquitt', 'Jim Gaffigan', 'Byron Brown', 'Michael Mobley', 'Charlene Lee', 'Randy E. Aguebor', 'Macon Blair', 'Nathan Smith', 'Claire Titelman', 'Maria Thayer', 'Courtney Davis', 'Steve Collins', 'Jonathan Duffy', 'Kelly Williams', 'Caroline Karlen', 'Lana Dieterich', 'David Pink'}",{'Steve Collins'},https://www.rottentomatoes.com/m/ive_got_issues
265,265,WhereSheLies,100,,,,,,,"Nov 10, 2020",['documentary'],"{'Zach Marion', 'Frank K. Isaac', 'Suz Curtis'}",{'Zach Marion'},https://www.rottentomatoes.com/m/where_she_lies
266,266,TheClimbers,33,80,2h 5m,,,"Oct 4, 2019",,"Feb 25, 2020","['adventure', 'drama']","{'Ai Lai', 'Daniel Lee', 'Ge Hu', 'Long Chen', 'Jing Wu', 'Boran Jing', 'Ziyi Zhang', 'Zhong-lun Ren', 'Jingchun Wang', 'Yi Zhang', 'Jackie Chan'}",{'Daniel Lee'},https://www.rottentomatoes.com/m/the_climbers_2019
267,267,Bull,90,63,1h 48m,,,,,"Apr 29, 2020",['drama'],"{'Ashton Hughes', 'Johnny McAllister', 'Amber Havard', 'Sara Allbright', 'Cassandra Hamar Thornton', 'Annie Silverstein', 'Troy Anthony Hogan', 'Rob Morgan', 'Bert Marcus', 'Heather Rae', 'Jess Jacobs', 'Steven Boyd', 'William Ryan Fritch', 'Yolonda Ross', 'Roishaun Davenport', 'Shabier Kirchner', 'Todd Holmes'}",{'Annie Silverstein'},https://www.rottentomatoes.com/m/bull_2020
268,268,RunWiththeHunted,0,38,1h 33m,,,,,"Jun 26, 2020","['crime', 'mysteryandthriller', 'drama']","{'Ron Perlman', 'Dree Hemingway', 'William Forsythe', 'Sam Quartin', 'John Swab', 'Matt Clegg', 'Jeremy M. Rosen', 'Jon Greenhalgh', 'Mark Boone Junior', 'Michael Pitt', 'Kylie Rogers', 'Jordan Abrams', 'Mark Farrow', 'Brad Carter', 'Josh Crook', 'Isiah Whitlock Jr.', 'Gore Abrams'}",{'John Swab'},https://www.rottentomatoes.com/m/run_with_the_hunted
269,269,RagDoll,40,92,1h 43m,,,,,"Feb 25, 2020","['drama', 'action']","{'Bailey Kobe', 'Shannon Murray'}",{'Bailey Kobe'},https://www.rottentomatoes.com/m/rag_doll_2020
270,270,GeboandtheShadow,100,50,1h 35m,,,,,"Oct 17, 2019",['drama'],"{'Claudia Cardinale', 'Jeanne Moreau', 'Valérie Loiseleux', 'Isabelle Girard', 'Sandro Aguilar', 'Michael Lonsdale', 'Luís Miguel Cintra', 'Luís Urbano', 'Renato Berta', 'Bastien Guio', 'Christian Marti', 'Manoel de Oliveira', 'Leonor Silveira', 'Martine de Clermont-Tonnerre', 'Antoine de Clermont-Tonnerre', 'Ricardo Trêpa'}",{'Manoel de Oliveira'},https://www.rottentomatoes.com/m/gebo_and_the_shadow
271,271,TheGhostofPeterSellers,95,66,1h 33m,,,,,"Jun 23, 2020",['documentary'],"{'Peter Medak', 'Paul Iacovou'}",{'Peter Medak'},https://www.rottentomatoes.com/m/the_ghost_of_peter_sellers
272,272,HaveaGoodTripAdventuresinPsychedelics,58,72,,,,,,,['documentary'],"{'Adam Scott', 'Donick Cary'}",{'Donick Cary'},https://www.rottentomatoes.com/m/have_a_good_trip_adventures_in_psychedelics
273,273,Emperor,67,62,1h 39m,,,,,"Aug 18, 2020","['biography', 'drama', 'history']","{'Mark Amin', 'Keean Johnson', 'Bruce Dern', 'Pat Charles', 'Tyler Boehm', 'Dayo Okeniyi', 'Mykelti Williamson', 'Jeremy Rouse', 'Asaf Eisenberg', 'Kat Graham', 'Naturi Naughton', 'Reginald Hudlin', 'Susan Kirr', 'James Cromwell', 'Ben Robson', 'Cami Winikoff'}",{'Mark Amin'},https://www.rottentomatoes.com/m/emperor_2020
274,274,IStillBelieve,52,98,1h 55m,,,"Mar 13, 2020",,"Mar 26, 2020","['biography', 'romance', 'drama', 'music']","{'Abigail Cowen', 'KJ Apa', 'Jon Erwin', 'Cameron Arnett', 'Britt Robertson', 'Kristopher Kimlin', 'Nathan Parsons', 'Shania Twain', 'Tanya Christiansen', 'Gary Sinise', 'Parker Adams', 'John Debney', 'D. Scott Lumpkin', 'Melissa Roxburgh', 'Andrew Erwin', 'Joseph T. Garrity', 'Jon Gunn', 'Rebecca Chulew', 'Kevin Downes'}","{'Jon Erwin,                                                     Andrew Erwin'}",https://www.rottentomatoes.com/m/i_still_believe
275,275,FireinParadise,83,83,40m,,,,,"Nov 1, 2019",['documentary'],"{'Carter Gunn', 'Ariane Wu', 'Zackary Canepari', 'Noah Johnson', 'Gary Kout', 'Tyler Maddox', 'John Baker', 'Drea Cooper'}","{'Drea Cooper,                                                     Zackary Canepari'}",https://www.rottentomatoes.com/m/fire_in_paradise
276,276,ElCaminoABreakingBadMovie,91,81,2h 2m,,,"Oct 11, 2019",,"Oct 11, 2019","['crime', 'drama']","{'Vince Gilligan', 'Aaron Paul', 'Melissa Bernstein', 'Mark Johnson', 'Charles Newirth', 'Marshall Adams', 'Skip Macdonald', 'Judy Rhee', 'Matt Jones', 'Charles Baker', 'Diane Mercer'}",{'Vince Gilligan'},https://www.rottentomatoes.com/m/el_camino_a_breaking_bad_movie
277,277,Ammonite,69,85,2h,,,"Nov 13, 2020",,"Dec 4, 2020","['gayandlesbian', 'drama', 'romance']","""{'Mary Burke', """"Fodhla Cronin O'Reilly""""", 'Fiona Shaw', 'Emile Sherman'
278,278,FeastoftheSevenFishes,88,89,1h 39m,,,"Nov 15, 2019",,"Nov 15, 2019","['other', 'comedy']","""{'Robert Scott Witty', 'Paul Ben-Victor', 'John Michaels', 'Matt Mariano', 'Jeffrey Tinnell', 'Madison Iseman', 'Skyler Gisondo', 'Addison Timlin', 'Joe Pantoliano', 'Erick Factor', 'Josh Helman', 'Robert Tinnell', 'Jamie Thompson', """"Sean Thomas O'Brien""""", 'Ray Abruzzo', 'Aaron J. Shelton'
279,279,TheRingmaster,95,99,1h 28m,,,,,"Oct 6, 2020",['documentary'],"{'Linda Lang', 'Larry Lang', 'Zachary Capp', 'Joshua Capp', 'Dave Newberg', 'Gene Simmons', 'Chuck Brennan', 'Daniel Capp', 'Paul Stanley', 'Lexy Lionel', 'Molly Dworsky', 'Julian Williams'}","{'Dave Newberg,                                                     Molly Dworsky'}",https://www.rottentomatoes.com/m/the_ringmaster
280,280,DeepBlueSea,71,35,1h 39m,,,,,"Jul 5, 2020","['scifi', 'horror', 'action']","{'Ernest St Claire', 'Tom Keniston', 'Tania Raymonde', 'Mark Kilian', 'Emerson Brooks', 'Reina Aoi', 'Siya Mayola', 'Nathaniel Buzolic', 'Alex Bhat', 'Patty Reed', 'John Pogue', 'Hunt Lowry', 'Eric Strand', 'Brashaad Mayweather', 'Dirk Blackman', 'DeVille Vannik', 'Bren Foster'}",{'John Pogue'},https://www.rottentomatoes.com/m/deep_blue_sea_3
281,281,Jungleland,75,50,1h 30m,,,"Nov 6, 2020",,"Nov 10, 2020",['drama'],"""{'Kevin J. Walsh', 'Nick Mullen', 'David Branson Smith', 'Brad Feinstein', 'Fran Kranz', 'Michael Tow', 'Ryan Stowell', 'Meredith Holzman', 'B. Ted Deiker', 'Jules Daly', 'John Cullum', 'Owen Burke', 'Max Winkler', 'Charlie Hunnam', 'Jessica Barden', 'Theodore B. Bressman', """"Jack O'Connell"""""," 'Jonathan Majors'}""",{'Max Winkler'}
282,282,Pahokee,100,,1h 50m,,,,,"Jun 14, 2020",['documentary'],"{'Ivete Lucas', 'Patrick Bresnan'}","{'Patrick Bresnan,                                                     Ivete Lucas'}",https://www.rottentomatoes.com/m/pahokee
283,283,HouseofCardin,82,,1h 38m,,,"Aug 28, 2020",,"Sep 13, 2020",['documentary'],"{'Cori Coppola', 'James Peter Moffatt', 'Laurent King', 'Brad Comfort', 'P. David Ebersole', 'Pierre Cardin', 'Todd Hughes'}","{'P. David Ebersole,                                                     Todd Hughes'}",https://www.rottentomatoes.com/m/house_of_cardin
284,284,Thend,0,10,1h 33m,,,,,"Sep 1, 2020","['mysteryandthriller', 'action']","{'Chris Jai Alex', 'James Shavick', 'Eric Bromberg', 'Ryan Phillippe', 'Richard Burgi', 'Jonathan Deckter', 'Jack Griffo', 'Brian Skiba', 'Casper Van Dien', 'Lexi Simonsen', 'Geoffrey James Clark', 'Paul Taegel', 'Jennifer Wenger', 'Josh Tessier', 'William Katt', 'Nicolas Chartier', 'William McNamara'}",{'Brian Skiba'},https://www.rottentomatoes.com/m/the_2nd
285,285,CoffeeKareem,20,29,1h 28m,,,,,"Apr 4, 2020","['action', 'comedy']","{'Garfield Wilson', 'Samantha Cole', 'Sanford Nelson', 'Andrew Bachelor', 'Chance Hurstfield', 'Betty Gilpin', 'Shane Mack', 'Taraji P. Henson', 'Don Foss', 'Fraser Aitcheson', 'Ed Helms', 'Brian Burgoyne', 'Jordon Foss', 'Daniel Gabbe', 'Joseph Trapanese', 'Michael Dowse', 'David Alan Grier', 'Terrence Little Gardenhigh'}",{'Michael Dowse'},https://www.rottentomatoes.com/m/coffee_and_kareem
286,286,SheDiesTomorrow,83,23,1h 24m,,,"Jul 31, 2020",,"Aug 7, 2020","['mysteryandthriller', 'drama']","{'David Lawson Jr.', 'Josh Lucas', 'Kentucker Audley', 'Adam Wingard', 'Justin Benson', 'Tunde Adebimpe', 'Amy Seimetz', 'Chris Messina', 'Aaron Moorhead', 'Jay Keitel', 'Jane Adams', 'Kate Brokaw', 'Mondo Boys', 'Madison Calderon', 'Katie Aselton', 'Ariel Vida', 'Kate Lyn Sheil'}",{'Amy Seimetz'},https://www.rottentomatoes.com/m/she_dies_tomorrow
287,287,CapitalintheTwentyFirstCentury,93,72,1h 43m,,,"Apr 3, 2020",,"Jul 3, 2020",['documentary'],"{'Johan De Faria', 'Jacob Bryant', 'Catherine Madigan', 'Yann Le Prado', 'Matthew Metcalfe', 'Sandie Bompar', 'Justin Pemberton', 'Thomas Piketty'}",{'Justin Pemberton'},https://www.rottentomatoes.com/m/capital_in_the_twenty_first_century
288,288,Clemency,92,65,1h 53m,,,"Dec 27, 2019",,"Dec 27, 2019",['drama'],"""{'Johnny Chang', 'Bronwyn Cornelius', 'Wendell Pierce', 'Aldis Hodge', 'LaMonica Garrett', 'Richard Schiff', 'Chinonye Chukwu', 'Noshir Dalal', 'Vernee Watson', 'Timur Bekbosunov', 'Richard Gunn', 'Emma Lee', 'Kathryn Bostic', 'Danielle Brooks', 'Eric Branco', 'Peter Wong', 'Alfre Woodard', 'Julian Cautherley', """"Michael O'Neill""""}""",{'Chinonye Chukwu'},https://www.rottentomatoes.com/m/clemency_2019
289,289,InherittheViper,45,49,1h 30m,,,"Jan 10, 2020",,"Jan 10, 2020","['crime', 'mysteryandthriller', 'drama']","{'Michel Merkt', 'Nicholas Wiesnet', 'Andrew Crabtree', 'Josh Hartnett', 'Bruce Dern', 'Wolfgang Mueller', 'Chandler Riggs', 'Dash Mihok', 'Anthony Jerjen', 'Owen Teague', 'Kateryna Merkt', 'Gordon Antell', 'Brad William Henke', 'Margarita Levieva', 'Benito Mueller', 'Valorie Curry', 'Patrick Kirst'}",{'Anthony Jerjen'},https://www.rottentomatoes.com/m/inherit_the_viper
290,290,Mulan,72,49,1h 56m,,,,,"Sep 4, 2020","['adventure', 'action']","{'Liu Yifei', 'Rosalind Chao', 'Elizabeth Martin', 'Tzi Ma', 'Jake Weiner', 'Lauren Hynek', 'Utkarsh Ambudkar', 'Niki Caro', 'Chris Bender', 'Mandy Walker', 'Jason Scott Lee', 'Cheng Pei-Pei', 'Yoson An', 'Jason Reed', 'Barrie M. Osborne', 'Nelson Lee', 'Donnie Yen', 'Ron Yuan', 'Tendo Nagenda', 'William Kong'}",{'Niki Caro'},https://www.rottentomatoes.com/m/mulan_2020
291,291,TheLawyer,100,,1h 37m,,,,,"Aug 18, 2020","['gayandlesbian', 'romance', 'drama']","{'Narvydas Naujalis', 'Ieva Marija Baranauskaite', 'Lukas Juodis', 'Danilas Pavilionis', 'Romas Zabarauskas', 'Aiste Dirziute', 'Giedre Valeisaite', 'Glenn Elliott', 'Ieva Veiveryte', 'Neringa Bulotaite', 'Darya Ekamasova', 'Milena Dzambasovic', 'Eimutis Kvosciauskas', 'Naglis Bierancas', 'Dogac Yildiz', 'Denisas Kolomyckis', 'Simonas Mozura'}",{'Romas Zabarauskas'},https://www.rottentomatoes.com/m/the_lawyer_2020
292,292,LuckyGrandma,95,71,1h 40m,,,"May 22, 2020",,"Aug 2, 2020",['drama'],"{'Angela Cheng', 'Cassia Maher', 'Noel Ramos', 'Clem Cheung', 'Cara Marcous', 'Lyman Chen', 'Christine Chang', 'Krista Parris', 'Andrew Orkin', 'Sasie Sealy', 'Hsiao-Yuan Ha', 'Woody Fu', 'Emma Hong', 'Wayne Chang', 'Eduardo Enrique Mayén', 'Hye Mee Na', 'Tsai Chin', 'Kristen Hung', 'Melvin Mar'}",{'Sasie Sealy'},https://www.rottentomatoes.com/m/lucky_grandma
293,293,RedemptionDay,14,58,1h 40m,,,"Jan 8, 2021",,"Jan 12, 2021","['mysteryandthriller', 'action']","{'Sam Chouia', 'Serinda Swan', 'Ernie Hudson', 'Jonathan Deckter', 'Khadija Alami', 'Brice Bexter', 'David ZIlberberg', 'Robert Knepper', 'Philip Lozano', 'Hicham Hajji', 'Samy Naceri', 'Gary Dourdan', 'Andy Garcia', 'Martin Donovan', 'Matthew Helderman', 'Babacar Diene'}",{'Hicham Hajji'},https://www.rottentomatoes.com/m/redemption_day
294,294,TheWayBack,83,84,1h 48m,,,"Mar 6, 2020",,"Mar 6, 2020",['drama'],"""{'Ben Affleck', 'Ravi Mehta', 'Janina Gavankar', 'Brandon Wilson', 'Melvin Gregg', 'Michaela Watkins', 'Will Ropp', 'Al Madrigal', 'Glynn Turman', 'T.K. Carter', """"Gavin O'Connor""""", 'Brad Ingelsby', 'Jeremy Radin'
295,295,DTF,67,,1h 25m,,,"Sep 15, 2020",,"Sep 15, 2020",['documentary'],"{'Neil Jeram-Croft', 'Qasim Akhtar', 'Nathan Codrington', 'Al Bailey', 'Danielle Grubb', 'Gareth Jones'}",{'Al Bailey'},https://www.rottentomatoes.com/m/dtf
296,296,Inheritance,24,35,1h 51m,,,"May 22, 2020",,"May 22, 2020",['mysteryandthriller'],"{'Marlon Espino', 'Michael Beach', 'Patrick Warburton', 'Richard Barton Lewis', 'Marque Richardson', 'Santosh Govindaraju', 'Connie Nielsen', 'Simon Pegg', 'Vaughn Stein', 'Anders Erden', 'Arianne Fraser', 'Peter Jarowey', 'Lily Collins', 'Chris Gann', 'David M. Wulf', 'Chace Crawford', 'Richard Goldberg', 'Matthew Kennedy'}",{'Vaughn Stein'},https://www.rottentomatoes.com/m/inheritance_2020
297,297,Spree,66,58,1h 32m,,,"Aug 14, 2020",,"Aug 14, 2020","['mysteryandthriller', 'comedy']","{'Gene McHugh', 'Alex Hughes', 'Jeff Leeds Cohn', 'Benjamin Moses Smith', 'Mischa Barton', 'Eugene Kotlyarenko', 'Kyle Mooney', 'Sumaiya Kaveh', 'Frankie Grande', 'Joshua Ovalle', 'Sasheer Zamata', 'Lala Kent', 'Matthew Budman', 'Joe Keery', 'David Arquette', 'John H. Lang'}",{'Eugene Kotlyarenko'},https://www.rottentomatoes.com/m/spree_2020
