,_c0,title,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genres,casts,directors,link
828,828,APatientMan,50,,1h 33m,,,,,"Mar 13, 2020","['crime', 'mysteryandthriller', 'drama']","{'Jonathan Mangum', 'Tate Ellington', 'Harrison Reynolds', 'Ashley Codd', 'Kevin Ward', 'Jason Moyer', 'David Jahn', 'Kelsey Scott', 'Katherine Von Till', 'Justin Skinner', 'Amir Talai'}",{'Kevin Ward'},https://www.rottentomatoes.com/m/a_patient_man
829,829,Ultras,60,38,1h 48m,,,,,"Mar 21, 2020",['drama'],"{'Carlotta Calori', 'Simone Borrelli', 'Aniello Arena', 'Salvatore Pelliccia', 'Viola Prestieri', 'Nicola Giuliano', 'Francesca Cima', 'Gianluca Palma', 'Francesco Lettieri', 'Daniele Vicorito', 'Antonia Truppo', 'Ciro Nacca'}",{'Francesco Lettieri'},https://www.rottentomatoes.com/m/ultras
830,830,TheOpeningAct,82,85,1h 30m,,,"Oct 16, 2020",,"Oct 16, 2020",['comedy'],"{'Peter Billingsley', 'Ken Jeong', 'Bill Burr', 'Russell Peters', 'Dean Buchanan', 'Eric Alan Edwards', 'Matthew B. Schmidt', 'Jimmy O. Yang', 'Cedric The Entertainer', 'Jermaine Fowler', 'Debby Ryan', 'Alex Moffat', 'Michael Shader', 'Vince Vaughn', 'Neal Brennan', 'Whitney Cummings', 'Sefton Fincham', 'Sandra Granovsky', 'Steve Byrne'}",{'Steve Byrne'},https://www.rottentomatoes.com/m/the_opening_act
831,831,CampColdBrook,57,36,1h 26m,,,"Feb 14, 2020",,"Feb 14, 2020","['horror', 'mysteryandthriller']","{'Mark Alan', 'Warner Davis', 'Ross Marroso', 'Filip Vandewal', 'Mary Kathryn Bryant', 'Michael Eric Reid', 'Juliette Kida', 'Joe Dante', 'Alex Carl', 'Candice De Visser', 'Ben McConley', 'David Van Eman', 'Chad Michael Murray', 'Courtney Gains', 'Andy Palmer', 'Jason Van Eman', 'Danielle Harris'}",{'Andy Palmer'},https://www.rottentomatoes.com/m/camp_cold_brook
832,832,Judy,81,85,1h 58m,,,"Sep 27, 2019",,"Sep 27, 2019","['biography', 'music', 'drama', 'history']","{'Rose Garnett', 'Gaia Weiss', 'Cameron McCracken', 'Finn Wittrock', 'Bella Ramsey', 'Mickey Liddell', 'Pete Shilaimon', 'Michael Gambon', 'Andy Nyman', 'Andrea Scarso', 'Philippe Spall', 'Rufus Sewell', 'Jessie Buckley', 'Renée Zellweger', 'Gemma-Leah Devereux', 'Rupert Goold', 'Tom Edge', 'Laurence Myers', 'David Livingstone', 'Lee Dean'}",{'Rupert Goold'},https://www.rottentomatoes.com/m/judy_2019
833,833,BorntoBe,100,,1h 32m,,,"Nov 18, 2020",,"Nov 18, 2020",['documentary'],"{'Michelle Koo Hayashi', 'Jeffrey Johnson', 'Troy Herion', 'Garnet Rubio', 'Tania Cypriano', 'Jess Ting', 'Susan Norget', 'Christopher White', 'Leiomy Maldonado', 'Mahogany Phillips', 'Jordan Rubenstein', 'J. Winkelreid', 'Molly M. Fowler', 'Scott K. Foley'}",{'Tania Cypriano'},https://www.rottentomatoes.com/m/born_to_be
834,834,RomBoysYearsofRad,100,100,,,,,,"Oct 12, 2020",['documentary'],"{'Maximillion Cooper', 'Matt Harris', 'Andy Ruffell', 'Lance Mountain', 'Bob Haro'}",{'Matt Harris'},https://www.rottentomatoes.com/m/rom_boys_40_years_of_rad
835,835,SpyIntervention,33,41,1h 33m,,,"Feb 14, 2020",,"Feb 14, 2020","['adventure', 'comedy']","{'Poppy Delevingne', 'Dave Lugo', 'Lane Garrison', 'Drew Van Acker', 'Akaash Yadav', 'Dave Sheridan', 'Ken Holmes', 'Sunil Perkash', 'Wes Hull', 'Martin Sprock', 'Brian Sacca', 'Blake Anderson', 'Ryan R. Johnson', 'Natasha Bassett', 'Drew Mylrea', 'Blair Hahn', 'Mark Famiglietti', 'Brittany Furlan', 'Max Silvestri'}",{'Drew Mylrea'},https://www.rottentomatoes.com/m/spy_intervention
836,836,Luxor,90,35,1h 25m,,,,,"Dec 4, 2020","['romance', 'drama']","{'Ahmed Talaat', 'Trude Reed', 'Indigo Rønlov', 'Andrea Chignoli', 'Zeina Durra', 'Karim Saleh', 'Andrea Riseborough', 'Mohamed Hefzy', 'Mamdouh Saba', 'Paul Webster', 'Janie Aziz', 'Zelmira Gainza', 'Mohamed Fakhry', 'Michael Landes', 'Nascuy Linares', 'Sherine Reda'}",{'Zeina Durra'},https://www.rottentomatoes.com/m/luxor
837,837,LieExposed,0,,1h 25m,,,"Sep 25, 2020",,"Nov 20, 2020",['drama'],"{'Rocco Matteo', 'Kris Holden-Ried', 'Grace Lynn Kung', 'Kristin Lehman', 'Stephen J. MacDougall', 'Robert Carli', 'Benjamin Ayres', 'Bruce Greenwood', 'George Roulston', 'Leslie Hope', 'David Hewlett', 'Jeff Kober', 'Morganne Newson', 'Alex Gomez', 'Megan Follows', 'Jerry Ciccoritti', 'Daniel Maslany'}",{'Jerry Ciccoritti'},https://www.rottentomatoes.com/m/lie_exposed
838,838,SpaceshipEarth,87,61,1h 54m,,,"May 8, 2020",,"May 8, 2020",['documentary'],"{'Sally Silverstone', 'William Dempster', 'Leslie Berriman', 'Kathelin Gray', 'Tony Burgess', 'Stacey Reiss', 'Dan Cogan', 'Linda Leigh', 'Steve Cohen', 'Matt Wolf', 'David Teague', 'Larry Winokur', 'Sam Wootton', 'Stanley F. Buchthal', 'Mark Nelson', 'Owen Pallett', 'John Allen'}",{'Matt Wolf'},https://www.rottentomatoes.com/m/spaceship_earth_2020
839,839,GreenerGrass,81,,1h 42m,,,"Oct 18, 2019",,"Oct 19, 2019",['comedy'],"""{'Beck Bennett', 'Lowell A. Meyer', 'Jim Cummings', 'Dawn Luebbe', 'Jocelyn DeBoer', 'Mary Holland', 'Janicza Bravo', 'Neil Casey', 'Asher Miles Fallica', """"D'Arcy Carden""""", 'Natalie Metzger', 'Matt Miller'
