title,audience_score,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award
SWORD OF XANTEN,67,"The legend of Siegfried and Brunhild, loosely based on characters from the Norse sagas and the pre-Christian Germanic heroic motifs outlined in the Nibelungensaga.",2004,184,31512191,232606,Tandem Communications,PG-13,12/23/2005,['Uli Edel'],"['Benno Fürmann', 'Kristanna Loken', 'Alicia Witt', 'Julian Sands']","['Action', 'Adventure', 'Drama', 'Fantasy']",0
HOUSE OF WAX,54,A group of teens are unwittingly stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,2005,113,53007885,91128666,Warner Bros.,R,5/6/2005,['Jaume Collet-Serra'],"['Chad Michael Murray', 'Paris Hilton', 'Elisha Cuthbert', 'Brian Van Holt']","['Horror', 'Thriller']",0
POSEIDON,57,"On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship.",2006,98,205405555,233231354,Warner Bros.,PG-13,5/12/2006,['Wolfgang Petersen'],"['Richard Dreyfuss', 'Kurt Russell', 'Emmy Rossum', 'Josh Lucas']","['Action', 'Adventure', 'Thriller']",1
THE KITE RUNNER,76,"After spending years in California, Amir returns to his homeland in Afghanistan to help his old friend Hassan, whose son is in trouble.",2007,128,24964647,93631195,Dreamworks Pictures,PG-13,1/11/2008,['Marc Forster'],"['Khalid Abdalla', 'Ahmad Khan Mahmoodzada', 'Atossa Leoni', 'Shaun Toub']",['Drama'],0
THE PROPOSITION,73,"A lawman apprehends a notorious outlaw and gives him nine days to kill his older brother, or else they'll execute his younger brother.",2005,104,26503942,6690513,UK Film Council,R,6/9/2006,['John Hillcoat'],"['Ray Winstone', 'Guy Pearce', 'Emily Watson', 'Richard Wilson']","['Crime', 'Drama', 'Western']",0
SWING GIRLS,75,"A tale of delinquent and lazy school girls. In their efforts to cut remedial summer math class, they end up vitiating and replacing the schools brass band.",2004,105,685047644,25701087,Altamira Pictures Inc.,,9/11/2004,['Shinobu Yaguchi'],"['Juri Ueno', 'Yûta Hiraoka', 'Shihori Kanjiya', 'Yuika Motokariya']","['Drama', 'Comedy', 'Music']",0
SCOTT PILGRIM VS THE WORLD,75,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",2010,112,71214091,58060818,Universal Pictures,PG-13,8/13/2010,['Edgar Wright'],"['Michael Cera', 'Mary Elizabeth Winstead', 'Kieran Culkin', 'Anna Kendrick']","['Action', 'Comedy', 'Fantasy', 'Romance']",0
TURISTAS,54,A group of young backpackers' vacation turns sour when a bus accident leaves them marooned in a remote Brazilian rural area that holds an ominous secret.,2006,93,12837847,18944185,Fox Atomic,R,12/1/2006,['John Stockwell'],"['Josh Duhamel', 'Melissa George', 'Olivia Wilde', 'Desmond Askew']","['Horror', 'Mystery', 'Thriller']",0
MAN OF THE YEAR,62,"A comedian who hosts a news satire program decides to run for president, and a computerized voting machine malfunction gets him elected.",2006,115,25675694,54525510,Universal Pictures,PG-13,10/13/2006,['Barry Levinson'],"['Robin Williams', 'Laura Linney', 'Lewis Black', 'Christopher Walken']","['Comedy', 'Drama', 'Romance', 'Thriller']",1
THE ALPHABET KILLER,52,"Based on the true story of the double initial killings in Rochester, NY.",2008,98,2404156,128136,Intrinsic Value Films,R,12/10/2009,['Rob Schmidt'],"['Eliza Dushku', 'Cary Elwes', 'Timothy Hutton', 'Tom Malloy']","['Crime', 'Mystery', 'Thriller']",0
HIS MAJESTY MINOR,40,Described as a mythical comedy set on an island in the Aegean Sea before the founding of Ancient Greece.,2007,101,37946264,2859082,Reperage,,10/10/2007,['Jean-Jacques Annaud'],"['José Garcia', 'Vincent Cassel', 'Sergio Peris-Mencheta', 'Mélanie Bernier']","['Comedy', 'Fantasy']",0
THE LAST AIRBENDER,40,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",2010,103,178035229,379468894,Paramount Pictures,PG,7/1/2010,['M. Night Shyamalan'],"['Noah Ringer', 'Nicola Peltz', 'Jackson Rathbone', 'Dev Patel']","['Action', 'Adventure', 'Family', 'Fantasy']",0
THE MAN WITH THE IRON FISTS,54,"On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",2012,95,16908826,23161166,Arcade Pictures,R,11/2/2012,['RZA'],"['Russell Crowe', 'Cung Le', 'Lucy Liu', 'RZA']",['Action'],1
THE MAN WHO KILLED DON QUIXOTE,64,"Toby, a disillusioned film director, is pulled into a world of time-jumping fantasy when a Spanish cobbler believes himself to be Sancho Panza. He gradually becomes unable to tell dreams from reality.",2018,132,17521562,2463720,Alacran Pictures,Unrated,5/19/2018,['Terry Gilliam'],"['José Luis Ferrer', 'Ismael Fritschi', 'Juan López-Tagle', 'Adam Driver']","['Adventure', 'Comedy', 'Drama', 'Fantasy']",0
PARADISE LOVE,71,"Teresa, a fifty-year-old Austrian mother, travels to the paradise of the beaches of Kenya, seeking out love from African boys. But she must confront the hard truth that on the beaches of Kenya, love is a business.",2012,120,4058118,1926519,Ulrich Seidl Film Produktion GmbH,Unrated,4/26/2013,['Ulrich Seidl'],"['Margarete Tiesel', 'Peter Kazungu', 'Inge Maux', 'Dunja Sowinetz']",['Drama'],0
ZINDAGI NA MILEGI DOBARA,82,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,2011,155,632820675,5974682,Eros International,Unrated,10/19/2012,['Zoya Akhtar'],"['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol', 'Katrina Kaif']","['Comedy', 'Drama']",0
