title,audience_score,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award
ARAHAN,66,"As a dorky cop falls in with five Tao masters who admire his c'hi, an ancient foe comes looking for them all.",2004,114,6165428,54402,CJ Entertainment,Unrated,4/30/2004,['Seung-wan Ryoo'],"['Seung-bum Ryoo', 'So-yi Yoon', 'Sung-Ki Ahn', 'Doo-hong Jung']","['Action', 'Comedy']",0
PRICELESS,70,"Through a set of wacky circumstances, a young gold digger mistakenly woos a mild-mannered bartender, thinking he's a wealthy suitor.",2006,106,15020281,35999712,Les Films Pelléas,PG-13,4/11/2008,['Pierre Salvadori'],"['Audrey Tautou', 'Gad Elmaleh', 'Marie-Christine Adam', 'Vernon Dobtcheff']","['Comedy', 'Romance']",0
BIG BANG LOVE JUVENILE A,67,"A visually stylish tale of two male prisoners bonded by emotion, love and murder.",2006,85,12837847,1951,Eisei Gekijo,Unrated,8/26/2006,['Takashi Miike'],"['Ryûhei Matsuda', 'Masanobu Andô', 'Shunsuke Kubozuka', 'Kiyohiko Shibukawa']","['Drama', 'Fantasy']",0
SOMEONE ELSE,57,"David (Stephen Mangan) constantly stresses over his love life and feels a choice must be made, stay with his too-agreeable girlfriend, Lisa (Susan Lynch), or go after exciting and tricky Nina (Lara Belmont).",2006,78,6418923,12541,RSA Films,,9/7/2007,['Col Spector'],"['Neville Cawas Bardoliwalla', 'Lara Belmont', 'Hugo Chamberlain', 'Chris Coghill']","['Comedy', 'Drama']",0
GANGSTERS PARADISE JERUSALEMA,73,A young hoodlum's rise from a small-time criminal to a powerful crime entrepreneur during the turbulent years before and after the fall of apartheid.,2008,119,2404156,506787,Muti Films,R,8/29/2008,['Ralph Ziman'],"['Rapulana Seiphemo', 'Jeffrey Zekele', 'Ronnie Nyakale', 'Shelley Meskin']","['Action', 'Crime', 'Drama']",0
UNTIL DEATH,58,"Stowe is a dirty cop who is hooked on heroin, and everyone dislikes him. Because of an accident he is put into a coma, and comes out of it a better person. He wakes up wanting to put things right.",2007,101,14978788,265774,Millennium Films,R,6/20/2007,['Simon Fellows'],"['Jean-Claude Van Damme', 'Stephen Rea', 'Selina Giles', 'Mark Dymond']","['Action', 'Crime', 'Drama', 'Thriller']",0
SURFER DUDE,47,A wave twisting tale of a soul searching surfer experiencing an existential crisis.,2008,85,7212468,62666,Berk/Lane Entertainment,R,9/5/2008,['S.R. Bindler'],"['Matthew McConaughey', 'Woody Harrelson', 'Willie Nelson', 'Alexie Gilmore']",['Comedy'],0
CIRCUMSTANCE,58,A wealthy Iranian family struggles to contain a teenager's growing sexual rebellion and her brother's dangerous obsession.,2011,107,1150583,639161,Marakesh Films,R,2/8/2012,['Maryam Keshavarz'],"['Sarah Kazemy', 'Nikohl Boosheri', 'Reza Sixo Safai', 'Soheil Parsa']",['Drama'],0
PRACTICAL GUIDE TO BELGRADE WITH SINGING AND CRYING,64,Four couples from different nations meet in present Belgrade and experience the small impossibilities of big love.,2011,86,1455487,6477,Art & Popcorn,,12/8/2011,['Bojan Vuletic'],"['Marko Janketic', 'Julie Gayet', 'Anita Mancic', 'Jean-Marc Barr']","['Comedy', 'Drama', 'Romance']",0
BACHELORETTE,53,Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school.,2012,87,3381765,13671997,Gary Sanchez Productions,R,11/23/2012,['Leslye Headland'],"['Kirsten Dunst', 'Isla Fisher', 'Lizzy Caplan', 'James Marsden']","['Comedy', 'Romance']",0
GIAI CUU TUONG GIA,64,"In ancient China, the seven heirs of the Yang family face a horde of enemies to rescue their father.",2013,102,22219637,14172240,Pegasus Motion Pictures,Unrated,5/10/2013,['Ronny Yu'],"['Fan Xu', 'Adam Cheng', 'Ekin Cheng', 'Bo Yu']","['Adventure', 'History', 'War']",0
MY WAY,69,"A biopic of French pop star Claude Francois, most famous for co-writing the song 'My Way'. Tracing his life from childhood in Egypt through success in France to his untimely death in Paris in 1978.",2012,148,22545101,18891229,LGM Productions,,3/14/2012,['Florent-Emilio Siri'],"['Jérémie Renier', 'Benoît Magimel', 'Monica Scattini', 'Sabrina Seyvecou']","['Biography', 'Drama', 'Music']",0
OCULUS,65,"A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon.",2013,104,5554909,49394198,Intrepid Pictures,R,4/11/2014,['Mike Flanagan'],"['Karen Gillan', 'Brenton Thwaites', 'Katee Sackhoff', 'Rory Cochrane']","['Horror', 'Mystery']",0
STAN  OLLIE,72,"Laurel and Hardy, the world's most famous comedy duo, attempt to reignite their film careers as they embark on what becomes their swan song - a grueling theatre tour of post-war Britain.",2018,98,10306801,25170160,Entertainment One,PG,1/11/2019,['Jon S. Baird'],"['Steve Coogan', 'John C. Reilly', 'Shirley Henderson', 'Nina Arianda']","['Biography', 'Comedy', 'Drama', 'Family', 'History']",0
MURDER ON THE ORIENT EXPRESS,65,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.",2017,114,58071985,372499138,Twentieth Century Fox,PG-13,11/10/2017,['Kenneth Branagh'],"['Kenneth Branagh', 'Penélope Cruz', 'Willem Dafoe', 'Judi Dench']","['Crime', 'Drama', 'Mystery']",0
THE WHITE KING,58,A 12-year-old boy rebels after a brutal government labels his father a traitor and imprisons him.,2016,89,2156695,15176,Oiffy,Unrated,12/5/2017,"['Alex Helfrecht', 'Jörg Tittel']","['Olivia Williams', 'Jonathan Pryce', 'Fiona Shaw', 'Greta Scacchi']","['Drama', 'Sci-Fi']",0
THE PEANUT BUTTER FALCON,76,Zak runs away from his care home to make his dream of becoming a wrestler come true.,2019,97,6276488,134672661,Armory Films,PG-13,8/23/2019,"['Tyler Nilson', 'Michael Schwartz']","['Zack Gottsagen', 'Ann Owens', 'Dakota Johnson', 'Bruce Dern']","['Adventure', 'Comedy', 'Drama']",0
EVERYTHING EVERYTHING,64,A teenager who's spent her whole life confined to her home falls for the boy next door.,2017,96,10558542,65062944,Alloy Entertainment,PG-13,5/19/2017,['Stella Meghie'],"['Amandla Stenberg', 'Nick Robinson', 'Anika Noni Rose', 'Ana de la Reguera']","['Drama', 'Romance']",0
AMBARSARIYA,71,"A secret agent who is posing as an insurance salesman tries to find an assassin, while also trying to juggle three women.",2016,140,53917385,458255,Tips Films Pvt. Ltd.,,3/25/2016,['Mandeep Kumar'],"['Diljit Dosanjh', 'Monica Gill', 'Navneet Kaur Dhillon', 'Lauren Gottlieb']","['Action', 'Comedy', 'Family', 'Music', 'Thriller']",0
RAY  LIZ,67,"Photographer Richard Billingham returns to the squalid council flat outside of Birmingham where he and his brother were raised, in a confrontation and reconciliation with parents Ray and Liz.",2018,108,721476,60304,Jacqui Davies,,7/10/2019,['Richard Billingham'],"['Patrick Romer', 'Richard Ashton', 'Justin Salinger', 'Callum Slater']",['Drama'],0
MISSING,77,"When an idealistic American writer disappears during the Chilean coup d'état in September 1973, his wife and father try to find him.",1982,122,25478803,37547709,PolyGram Filmed Entertainment,PG,3/12/1982,['Costa-Gavras'],"['Jack Lemmon', 'Sissy Spacek', 'Melanie Mayron', 'John Shea']","['Biography', 'Drama', 'History', 'Mystery', 'Thriller']",1
THE YEAR OF LIVING DANGEROUSLY,71,A young Australian reporter tries to navigate the political turmoil of Indonesia during the rule of President Sukarno with the help of a diminutive photographer.,1982,115,34865730,27566925,Metro-Goldwyn-Mayer (MGM),PG,2/18/1983,['Peter Weir'],"['Mel Gibson', 'Sigourney Weaver', 'Linda Hunt', 'Bembol Roco']","['Drama', 'Romance', 'War']",0
ST ELMOS FIRE,64,"A group of friends, just out of college, struggle with adulthood.",1985,110,24053066,90929906,Columbia Pictures,R,6/28/1985,['Joel Schumacher'],"['Demi Moore', 'Rob Lowe', 'Andrew McCarthy', 'Emilio Estevez']","['Drama', 'Romance']",0
BAND OF THE HAND,62,Five juvenile lost causes are sent to the Everglades where a war veteran tries to reform them using survival tactics. Their new skills and resolve are tested when a Miami drug lord targets them for trying to clean up their neighborhood.,1986,109,20544303,11490433,Delphi V Productions,R,4/11/1986,['Paul Michael Glaser'],"['Stephen Lang', 'Michael Carmine', 'Lauren Holly', 'John Cameron Mitchell']","['Action', 'Crime', 'Drama']",0
PIRATES,61,The adventures of pirate Captain Red and his first mate Frog.,1986,121,94456569,3877028,Carthago Films S.a.r.l.,PG-13,7/18/1986,['Roman Polanski'],"['Walter Matthau', 'Cris Campion', 'Damien Thomas', 'Olu Jacobs']","['Adventure', 'Comedy']",0
STAR TREK V THE FINAL FRONTIER,55,Captain Kirk and his crew must deal with Mr. Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy.,1989,107,58023756,108972056,Paramount Pictures,PG,6/9/1989,['William Shatner'],"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",0
CLOSET LAND,71,"In a drab police state, an author of children's books is interrogated by a sadistic, secret policeman. She's under suspicion of embedding anti-government messages in her stories.",1991,89,7600910,492181,Imagine Entertainment,R,3/6/1991,['Radha Bharadwaj'],"['Madeleine Stowe', 'Alan Rickman']","['Drama', 'Thriller']",0
DUTCH,65,"To get to know his girlfriend's son, a working-class good guy volunteers to pick him up from his prep school, only to learn that he isn't the nicest young man.",1991,107,32303869,8748512,Twentieth Century Fox,PG-13,7/19/1991,['Peter Faiman'],"[""Ed O'Neill"", 'Ethan Embry', 'JoBeth Williams', 'Christopher McDonald']","['Comedy', 'Drama']",0
VERY BAD THINGS,63,A prostitute is killed during a bachelor party and the attendees turn on each other as the wedding approaches.,1998,100,47633926,15716674,Initial Entertainment Group (IEG),R,11/25/1998,['Peter Berg'],"['Christian Slater', 'Daniel Stern', 'Cameron Diaz', 'Jon Favreau']","['Comedy', 'Crime', 'Thriller']",0
THE SIEGE,64,"The secret U.S. abduction of a suspected terrorist leads to a wave of terrorist attacks in New York City, which leads to the declaration of martial-law.",1998,116,111145828,185252963,Twentieth Century Fox,R,11/6/1998,['Edward Zwick'],"['Denzel Washington', 'Bruce Willis', 'Annette Bening', 'Tony Shalhoub']","['Action', 'Thriller']",0
LARA CROFT TOMB RAIDER,58,Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,2001,100,168059090,401446900,Paramount Pictures,PG-13,6/15/2001,['Simon West'],"['Angelina Jolie', 'Jon Voight', 'Iain Glen', 'Noah Taylor']","['Action', 'Adventure', 'Fantasy', 'Thriller']",1
MEET THE PARENTS,70,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",2000,108,82663211,496646653,Universal Pictures,PG-13,10/6/2000,['Jay Roach'],"['Ben Stiller', 'Robert De Niro', 'Teri Polo', 'Blythe Danner']","['Comedy', 'Romance']",1
THE CIRCLE,74,Various women struggle to function in the oppressively sexist society of contemporary Iran.,2000,90,15029,1202303,"Direction du Développement et de la Coopération (DDC), Département Fédéral des Affaires Etrangères",Unrated,9/9/2000,['Jafar Panahi'],"['Maryiam Palvin Almani', 'Nargess Mamizadeh', 'Mojgan Faramarzi', 'Elham Saboktakin']",['Drama'],0
TANGUY,64,"Tanguy is 28 years old and still living with his parents. They think it's time he moves out. He doesn't, so they hatch a plan...",2001,108,160752173,35473041,Les Productions du Champ Poirier,,11/21/2001,['Étienne Chatiliez'],"['Sabine Azéma', 'André Dussollier', 'Éric Berger', 'Hélène Duc']",['Comedy'],0
PIECES OF APRIL,70,A wayward daughter invites her dying mother and the rest of her estranged family to her apartment for Thanksgiving dinner.,2003,80,421974,4616852,United Artists,PG-13,11/28/2003,['Peter Hedges'],"['Katie Holmes', 'Oliver Platt', 'Patricia Clarkson', 'Derek Luke']","['Comedy', 'Drama']",0
RAISE YOUR VOICE,59,A girl from a small town heads to the big city of Los Angeles to spend the summer at a performing arts high school.,2004,103,20551429,20369910,New Line Cinema,PG,10/8/2004,['Sean McNamara'],"['Hilary Duff', 'John Corbett', 'Rebecca De Mornay', 'Oliver James']","['Family', 'Music', 'Musical', 'Romance']",0
ON FLUX,55,"Aeon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is sent on a mission to kill the Chairman, a whole new mystery is found.",2005,93,82162222,70661728,Paramount Pictures,PG-13,12/2/2005,['Karyn Kusama'],"['Charlize Theron', 'Frances McDormand', 'Sophie Okonedo', 'Marton Csokas']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",0
BOY S TENYU,59,"A boxer, blinded after the lost fight, decides to steal money for operation from his manager, who forsaken him.",2005,132,4638189,10761760,Central Partnership,Unrated,3/17/2005,['Aleksey Sidorov'],"['Denis Nikiforov', 'Elena Panova', 'Andrey Panin', 'Ivan Makarevich']","['Action', 'Drama', 'Sport']",0
THE SITUATION,63,"The story of an American journalist, a CIA operative, and an Iraqi photographer against the backdrop of the bloody war in Iraq.",2006,111,1283784,62771,Shadow Distribution,R,10/18/2006,['Philip Haas'],"['Connie Nielsen', 'Damian Lewis', 'Mido Hamada', 'Driss Roukhe']","['Drama', 'War']",0
LOVE IS ALL,70,The bumpy love lives of four Amsterdam couples intersect during the days leading up to Dutch national holiday Sinterklaas.,2007,110,4669013,18146663,Motel Films,,10/11/2007,['Joram Lürsen'],"['Michiel Romeyn', 'Thomas Acda', 'Anneke Blok', 'Carice van Houten']","['Comedy', 'Romance']",0
SUMMER PALACE,71,"Yu Hong leaves her home village and starts university in Beijing, where she develops a consuming and compulsive relationship with another student. The student riots from 1989 then ensue and take a toll on their lives.",2006,158,3209461,183615,Centre National du Cinéma et de l'Image Animée,Unrated,4/18/2007,['Ye Lou'],"['Lei Hao', 'Xiaodong Guo', 'Xueyun Bai', 'Lin Cui']","['Drama', 'Romance']",0
GARDENS OF THE NIGHT,68,"After being abducted as children, and suffering years of abuse, a teenage boy and girl find themselves living on the street.",2008,110,2764779,13746,Station 3,R,11/21/2008,['Damian Harris'],"['Gillian Jacobs', 'John Malkovich', 'Ryan Simpkins', 'Tom Arnold']",['Drama'],0
ALVIN AND THE CHIPMUNKS,52,Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.,2007,92,74893943,456044881,Fox 2000 Pictures,PG,12/14/2007,['Tim Hill'],"['Jason Lee', 'Ross Bagdasarian Jr.', 'Janice Karman', 'David Cross']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Music']",0
LOOPER,74,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",2012,113,33817652,198968206,TriStar Pictures,R,9/28/2012,['Rian Johnson'],"['Joseph Gordon-Levitt', 'Bruce Willis', 'Emily Blunt', 'Paul Dano']","['Action', 'Drama', 'Sci-Fi', 'Thriller']",0
127 HOURS,75,"A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",2010,94,21364227,72090971,Fox Searchlight Pictures,R,1/28/2011,['Danny Boyle'],"['James Franco', 'Amber Tamblyn', 'Kate Mara', 'Sean Bott']","['Biography', 'Drama']",1
THE ADDAMS FAMILY,58,The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.,2019,86,24296084,206275651,Metro-Goldwyn-Mayer (MGM),PG,10/11/2019,"['Greg Tiernan', 'Conrad Vernon']","['Oscar Isaac', 'Charlize Theron', 'Chloë Grace Moretz', 'Finn Wolfhard']","['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",0
SPARKLE,57,"In the 1960s, three sisters form a girl group and soon become local sensations with major label interest, but fame becomes a challenge as the close-knit family begins to fall apart.",2012,116,15781570,27773084,Akil Production Company,PG-13,8/17/2012,['Salim Akil'],"['Jordin Sparks Thomas', 'Carmen Ejogo', 'Whitney Houston', 'Derek Luke']","['Drama', 'Music']",0
THE SUMMIT,69,"The story of the deadliest day on the world's most dangerous mountain, when 11 climbers mysteriously perished on K2.",2012,95,1127255,312983,Image Now Films,R,11/22/2013,['Nick Ryan'],"['Christine Barnes', 'Hoselito Bite', 'Walter Bonatti', 'Marco Confortola']",['Documentary'],0
BONE TOMAHAWK,71,"In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.",2015,132,1965512,417757,Caliber Media Company,Unrated,2/19/2016,['S. Craig Zahler'],"['Kurt Russell', 'Patrick Wilson', 'Matthew Fox', 'Richard Jenkins']","['Drama', 'Horror', 'Western']",0
HONEYMOON,65,"It should have been the best day of her life, but then a strange guest with a stranger claim entered the marriage merriment. About the shadows which catch up with each of us.",2013,98,1110981,514439,Ceská Televize,,8/22/2013,['Jan Hrebejk'],"['Anna Geislerová', 'Stanislav Majer', 'Jirí Cerný', 'Kristýna Nováková']","['Drama', 'Thriller']",0
RISE OF THE FOOTSOLDIER PART II,53,The life of underworld icon Carlton Leach.,2015,111,5459756,8905,Carnaby International,R,2/20/2018,['Ricci Harnett'],"['Charlie Heaton', 'Steven Berkoff', 'Craig Fairbrass', 'Luke Mably']","['Biography', 'Crime', 'Drama']",0
COLOSSAL YOUTH,78,"When Ryder's dream girl Siobhan returns to school he tries to win her heart until his efforts fail and he hits rock bottom, it's then that he realizes his true love has been there all along.",2018,98,257670,11544,Giant Steps Productions,TV-14,8/3/2018,['R. Scott Leisk'],"['Troy Osterberg', 'Kimmy Caruso', 'Riker Lynch', 'Reece Everett Ryan']","['Comedy', 'Drama', 'Romance']",0
MERMAID DOWN,49,"A mermaid is ripped from the Pacific, her tail is chopped off and she's thrown into a mental home where no one believes she is a mermaid.",2019,91,86048,117902,Grellman Film,,11/22/2019,['Jeffrey Grellman'],"['Megan Therese Rippey', 'Phillip Andre Botello', 'Jessica Honor Carleton', 'Eryn Rea']","['Fantasy', 'Horror', 'Mystery', 'Thriller']",0
FROZEN II,68,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",2019,103,151850526,1467915686,Walt Disney Animation Studios,PG,11/22/2019,"['Chris Buck', 'Jennifer Lee']","['Kristen Bell', 'Idina Menzel', 'Josh Gad', 'Jonathan Groff']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",0
GUARDIANS,40,"During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple Soviet republics. For years, the heroes had to hide their identities, but in hard times they must show themselves again.",2017,89,401224624,10310926,Big Cinema House,Unrated,2/24/2017,['Sarik Andreasyan'],"['Anton Pampushnyy', 'Sanjar Madi', 'Sebastien Sisak', 'Alina Lanina']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Thriller']",0
TEAM SPIRIT,67,"The rise and fall of anonymous trader turned superstar turned scapegoat Jérôme Kerviel, just as the 2008 financial crisis was unfolding",2016,117,8669915,2120209,Galatée Films,,6/22/2016,['Christophe Barratier'],"['Arthur Dupont', 'François-Xavier Demaison', 'Sabrina Ouazani', 'Tewfik Jallab']","['Biography', 'Drama', 'Thriller']",0
DISNEYS NEWSIES THE BROADWAY MUSICAL,84,"Filmed live on stage at the Pantages Theatre in Hollywood, CA, this is a not-to-be-missed high energy show starring Original Broadway cast members.",2017,149,2111708,2985416,Disney Theatrical Productions (DTP),PG,2/16/2017,"['Jeff Calhoun', 'Brett Sullivan']","['Jeremy Jordan', 'Kara Lindsay', 'Ben Fankhauser', 'Andrew Keenan-Bolger']",['Musical'],0
XMEN DARK PHOENIX,57,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.",2019,113,202467368,255557323,Twentieth Century Fox,PG-13,6/7/2019,['Simon Kinberg'],"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult']","['Action', 'Adventure', 'Sci-Fi']",0
THE CLAN OF THE CAVE BEAR,54,A young Cro-Magnon woman is raised by Neanderthals.,1986,98,35421213,4613570,Warner Bros.,R,1/17/1986,['Michael Chapman'],"['Daryl Hannah', 'Pamela Reed', 'James Remar', 'Thomas G. Waites']","['Adventure', 'Drama', 'Fantasy']",0
DIRTY DANCING,70,"Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle.",1987,100,13669595,488864001,Great American Films Limited Partnership,PG-13,8/21/1987,['Emile Ardolino'],"['Patrick Swayze', 'Jennifer Grey', 'Jerry Orbach', 'Cynthia Rhodes']","['Drama', 'Music', 'Romance']",0
DANCES WITH WOLVES,80,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",1990,181,43564208,840014660,Tig Productions,PG-13,11/21/1990,['Kevin Costner'],"['Kevin Costner', 'Mary McDonnell', 'Graham Greene', 'Rodney A. Grant']","['Adventure', 'Drama', 'Western']",0
BARTON FINK,77,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,1991,116,17102048,11693884,Circle Films,R,8/21/1991,"['Joel Coen', 'Ethan Coen']","['John Turturro', 'John Goodman', 'Judy Davis', 'Michael Lerner']","['Comedy', 'Drama', 'Thriller']",0
HANGIN WITH THE HOMEBOYS,70,Comedy about four young friends from New York who spend one crazy Fridaynight on the streets of Manhattan that quickly turns into a nightthey'll never forget.,1991,88,3610432,1012693,Juno Pix,R,4/5/1991,['Joseph B. Vasquez'],"['Doug E. Doug', 'Mario Joyner', 'John Leguizamo', 'Nestor Serrano']","['Comedy', 'Drama']",0
SISTER ACT 2 BACK IN THE HABIT,56,Showgirl Deloris Van Cartier returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.,1993,107,68061024,102662942,Touchstone Pictures,PG,12/10/1993,['Bill Duke'],"['Whoopi Goldberg', 'Kathy Najimy', 'Maggie Smith', 'Barnard Hughes']","['Comedy', 'Family', 'Music']",0
THE BRIDGES OF MADISON COUNTY,76,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,1995,135,40757637,309106972,Warner Bros.,PG-13,6/2/1995,['Clint Eastwood'],"['Clint Eastwood', 'Meryl Streep', 'Annie Corley', 'Victor Slezak']","['Drama', 'Romance']",1
FAIR GAME,43,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",1995,91,84911745,19588251,Warner Bros.,R,11/3/1995,['Andrew Sipes'],"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff', 'Christopher McDonald']","['Action', 'Romance', 'Thriller']",0
ANASTASIA,72,"The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.",1997,94,80626479,225438648,Twentieth Century Fox,G,11/21/1997,"['Don Bluth', 'Gary Goldman']","['Meg Ryan', 'John Cusack', 'Christopher Lloyd', 'Kelsey Grammer']","['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Musical', 'Mystery', 'Romance']",0
LIFE IS BEAUTIFUL,86,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",1997,116,32250591,371041048,Melampo Cinematografica,PG-13,12/20/1997,['Roberto Benigni'],"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']","['Comedy', 'Drama', 'Romance', 'War']",0
EVENT HORIZON,67,A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.,1997,96,96751775,43012338,Golar Productions,R,8/15/1997,['Paul W.S. Anderson'],"['Laurence Fishburne', 'Sam Neill', 'Kathleen Quinlan', 'Joely Richardson']","['Horror', 'Sci-Fi', 'Thriller']",0
SEVEN YEARS IN TIBET,71,"True story of Heinrich Harrer, an Austrian mountain climber who became friends with the Dalai Lama at the time of China's takeover of Tibet.",1997,136,112877071,211979402,Mandalay Entertainment,PG-13,10/10/1997,['Jean-Jacques Annaud'],"['Brad Pitt', 'David Thewlis', 'BD Wong', 'Mako']","['Adventure', 'Biography', 'Drama', 'History', 'War']",0
HARD RAIN,59,The nephew of an armored-truck driver tries to prevent three million dollars from being taken by a local rival gang during a catastrophic flooding caused by a severe storm.,1998,97,111145828,31550437,British Broadcasting Corporation (BBC) Television,R,1/16/1998,['Mikael Salomon'],"['Morgan Freeman', 'Christian Slater', 'Randy Quaid', 'Minnie Driver']","['Action', 'Crime', 'Drama', 'Thriller']",0
THE RED VIOLIN,76,"A red-colored violin inspires passion, making its way through three centuries over several owners and countries, eventually ending up at an auction where it may find a new owner.",1998,130,28580355,15908316,Rhombus Media,R,6/11/1999,['François Girard'],"['Carlo Cecchi', 'Jean-Luc Bideau', 'Christoph Koncz', 'Jason Flemyng']","['Drama', 'Music', 'Mystery', 'Romance']",0
BOILER ROOM,70,"A college dropout, attempting to live up to his father's high standards, gets a job as a broker for a suburban investment firm which puts him on the fast track to success. But the job might not be as legitimate as it first appeared to be.",2000,120,10520772,43255787,New Line Cinema,R,2/18/2000,['Ben Younger'],"['Giovanni Ribisi', 'Vin Diesel', 'Nia Long', 'Nicky Katt']","['Crime', 'Drama', 'Thriller']",0
ONE NIGHT AT MCCOOLS,61,Every man has a different recollection of the beautiful young woman who wreaked havoc on their lives during one heated night.,2001,93,26304901,19842935,October Films,R,4/27/2001,['Harald Zwart'],"['Liv Tyler', 'Matt Dillon', 'Mary Jo Smith', 'Michael Douglas']","['Comedy', 'Crime']",1
JOY RIDE,66,"Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychotic killer.",2001,97,33611818,53549235,New Regency Productions,R,10/5/2001,['John Dahl'],"['Steve Zahn', 'Paul Walker', 'Leelee Sobieski', 'Jessica Bowman']","['Action', 'Mystery', 'Thriller']",0
BETTER LUCK TOMORROW,70,A group of over-achieving Asian-American high school seniors enjoy a power trip when they dip into extra-curricular criminal activities.,2002,101,359659,5480097,Cherry Sky Films,R,4/25/2003,['Justin Lin'],"['Parry Shen', 'Jason Tobin', 'Sung Kang', 'Shirley Anderson']","['Crime', 'Drama', 'Romance']",0
TARNATION,71,"Filmmaker Jonathan Caouette's documentary on growing up with his schizophrenic mother -- a mixture of snapshots, Super-8 film, answering machine messages, video diaries, early short films, and more - culled from nineteen years of his life.",2003,88,309,898131,Tarnation Films,Unrated,11/10/2004,['Jonathan Caouette'],"['Jonathan Caouette', 'Renee Leblanc', 'Adolph Davis', 'Rosemary Davis']","['Documentary', 'Biography']",0
ALEXANDRIA NEW YORK,57,"Yehia, an Egyptian director from Alexandria goes to New York where he is reunited with Ginger, a woman he dated forty years ago.",2004,128,5480381,251881,Ognon Pictures,,7/7/2004,['Youssef Chahine'],"['Mahmoud Hemida', 'Ahmed Yehia', 'Youssra', 'Yousra El Lozy']","['Drama', 'Music', 'Romance']",0
KIDULTHOOD,68,A day in the life of a group of troubled 15-year-olds growing up in west London.,2006,89,770270,1090767,Stealth Films,R,3/3/2006,['Menhaj Huda'],"['Aml Ameen', 'Red Madrell', 'Noel Clarke', 'Adam Deacon']","['Crime', 'Drama', 'Romance']",0
DISGRACE,66,"After having an affair with a student, a Cape Town professor moves to the Eastern Cape, where he gets caught up in a mess of post-apartheid politics.",2008,119,12020780,2754778,Fortissimo Films,R,6/18/2009,['Steve Jacobs'],"['John Malkovich', 'Natalie Becker', 'Jessica Haines', 'Eriq Ebouaney']",['Drama'],0
