link,budget,opening_weekend_gross,box_office_gross,studio,mpaa_rating
https://www.imdb.com/title/tt1067765/,"$4,000,000","$3,783","$37,887",Treehouse Pictures,R
https://www.imdb.com/title/tt1130884/,"$80,000,000","$41,062,440","$294,805,697",Paramount Pictures,R
https://www.imdb.com/title/tt8058874/,,,"$190,760",Common Enemy,R
https://www.imdb.com/title/tt1399103/,"$195,000,000","$97,852,865","$1,123,794,079",Paramount Pictures,PG-13
https://www.imdb.com/title/tt3082854/,,"$9,249","$4,410,339",Zentropa Entertainments,Not Rated
https://www.imdb.com/title/tt1713476/,,"$19,747","$1,581,252",Automatik Entertainment,R
https://www.imdb.com/title/tt3844362/,,"$53,022","$1,110,522",Duplass Brothers Productions,R
https://www.imdb.com/title/tt2582576/,,,,The Mark Gordon Company,TV-MA
https://www.imdb.com/title/tt1290138/,,"$5,747","$9,188",Parts and Labor,Unrated
https://www.imdb.com/title/tt1690953/,"$76,000,000","$83,517,315","$970,766,005",Universal Pictures,PG
https://www.imdb.com/title/tt1592873/,"$11,000,000",,"$10,578,643",Double Feature Films,PG-13
https://www.imdb.com/title/tt4270516/,"$600,000","$115,540","$7,205,073",Depth of Field,R
https://www.imdb.com/title/tt0840361/,"$37,000,000","$23,808,032","$154,026,136",Warner Bros.,R
https://www.imdb.com/title/tt4411596/,,"$969,941","$9,200,168",Fox Searchlight Pictures,PG-13
https://www.imdb.com/title/tt2403029/,"$4,500,000",,"$3,906,308",The Safran Company,PG-13
https://www.imdb.com/title/tt7149336/,,,,Beachwood Park Films,Not Rated
https://www.imdb.com/title/tt3960240/,,,,Electric City Entertainment,Not Rated
https://www.imdb.com/title/tt6499752/,"$5,000,000","$4,670,905","$16,706,680",Goalpost Pictures,R
https://www.imdb.com/title/tt1178665/,"$8,000,000","$8,246,267","$37,461,274",Route One Entertainment,R
https://www.imdb.com/title/tt7608028/,"$100,000",,,,TV-MA
https://www.imdb.com/title/tt1620935/,"$6,000,000","$2,366,810","$6,698,679",Verdi Productions,R
https://www.imdb.com/title/tt1638002/,,"$14,893","$25,574,387",Canyon Creek Films,R
https://www.imdb.com/title/tt1840417/,"$6,000,000","$4,750,894","$15,950,164",Also Known As Pictures,PG-13
https://www.imdb.com/title/tt4178092/,"$5,000,000","$11,854,273","$58,980,521",Blumhouse Productions,R
https://www.imdb.com/title/tt1440129/,"$209,000,000","$25,534,825","$303,025,485",Universal Pictures,PG-13
https://www.imdb.com/title/tt1885299/,,"$3,728","$48,995",Mymy Productions,R
https://www.imdb.com/title/tt6186940/,,,,Spanknyce Films,Not Rated
https://www.imdb.com/title/tt1980929/,"$8,000,000","$134,064","$65,652,908",Exclusive Media Group,R
https://www.imdb.com/title/tt8431078/,,,"$88,955",Red Hour Films,R
https://www.imdb.com/title/tt6610158/,,,,Lunacy,R
https://www.imdb.com/title/tt1667321/,,"$35,765","$3,338,249",BBC Films,R
https://www.imdb.com/title/tt5933560/,,"$5,722","$12,847",2929 Entertainment,PG-13
https://www.imdb.com/title/tt6259380/,,,"$157,209",Collective Pictures,Not Rated
https://www.imdb.com/title/tt1700845/,,"$31,948","$3,986,888",BBC Films,R
https://www.imdb.com/title/tt2582784/,,"$48,919","$380,553",Diablo Entertainment (II),R
https://www.imdb.com/title/tt5851014/,"$4,000,000",,,Cho Man Ro Enterprises,TV-14
https://www.imdb.com/title/tt4016934/,"￦10,000,000,000","$92,129","$37,767,206",CJ Entertainment,Not Rated
https://www.imdb.com/title/tt5390504/,"$34,000,000","$350,190","$23,355,100",Annapurna Pictures,R
https://www.imdb.com/title/tt1691917/,"$50,000,000","$22,232,291","$239,258,712",Prana Studios,PG
https://www.imdb.com/title/tt7334528/,"$19,000,000","$15,242,781","$46,664,414",Summit Entertainment,PG-13
https://www.imdb.com/title/tt1567233/,,"$17,645","$739,561",Monica Beach Media,PG
https://www.imdb.com/title/tt12757438/,,,"$8,296",Grindstone Entertainment Group,R
https://www.imdb.com/title/tt4244998/,"$51,000,000","$10,352,512","$98,203,196",Studio 8,PG-13
https://www.imdb.com/title/tt3334418/,,,,Red Compass Media,TV-MA
https://www.imdb.com/title/tt2733258/,"€1,880,000","$1,535","$7,182",Anonymes Films,Not Rated
https://www.imdb.com/title/tt1990314/,"$2,500,000","$35,539","$4,806,423",Dog Run Pictures,PG-13
https://www.imdb.com/title/tt6155172/,,,"$1,140,769",Esperanto Filmoj,R
https://www.imdb.com/title/tt1436559/,"$12,000,000","$1,378","$515,823",Chydzik Media Group,PG-13
https://www.imdb.com/title/tt7349662/,"$15,000,000","$10,845,330","$93,413,417",Focus Features,R
https://www.imdb.com/title/tt1800246/,"$8,000,000","$8,742,109","$45,640,143",Treehouse Pictures,R
https://www.imdb.com/title/tt2865120/,"$20,000,000","$4,869,278","$13,385,737",Gramercy Pictures (I),PG
https://www.imdb.com/title/tt8128188/,"$2,000,000",,,Extension 765,TV-MA
https://www.imdb.com/title/tt1277953/,"$145,000,000","$60,316,738","$746,921,274",DreamWorks Animation,PG
https://www.imdb.com/title/tt2011971/,,"$112,190","$9,074,711",Canadian Broadcasting Corporation (CBC),PG-13
https://www.imdb.com/title/tt1894476/,"$8,000,000","$28,547","$925,762",Film4,R
https://www.imdb.com/title/tt1560985/,"$1,000,000","$33,732,515","$101,758,490",Insurge Pictures,R
https://www.imdb.com/title/tt8354112/,"$600,000",,,WebStringers,Not Rated
https://www.imdb.com/title/tt2398241/,"$60,000,000","$13,210,449","$197,183,546",Columbia Pictures,PG
https://www.imdb.com/title/tt1486190/,,"$18,604","$12,037,973",Ruby Films,R
https://www.imdb.com/title/tt1559549/,,"$35,581","$1,436,391",Outpost Films,R
https://www.imdb.com/title/tt5688996/,,,,Netflix,TV-MA
https://www.imdb.com/title/tt2639336/,,"$4,481,910","$18,653,107",Sidney Kimmel Entertainment,R
https://www.imdb.com/title/tt0477302/,"$40,000,000","$72,348","$55,247,881",Warner Bros.,PG-13
https://www.imdb.com/title/tt1791682/,"$10,000,000","$227,688","$18,117,839",IAC Films,R
https://www.imdb.com/title/tt1748260/,,"$10,874","$27,160",Tashmoo Productions,PG-13
https://www.imdb.com/title/tt0816462/,"$90,000,000","$10,021,215","$63,523,283",Lionsgate,R
https://www.imdb.com/title/tt1470827/,"$500,000","$20,508","$5,060,438",Protagonist Pictures,R
https://www.imdb.com/title/tt1778924/,"$3,100,000","$659,912","$1,327,841",The Ultimate Life,PG
https://www.imdb.com/title/tt2854926/,"$28,000,000","$14,947,396","$78,130,625",Broken Road Productions,R
https://www.imdb.com/title/tt1675192/,"$5,000,000","$52,041","$3,741,098",Hydraulx,R
https://www.imdb.com/title/tt1051904/,"$58,000,000","$23,618,556","$158,261,424",Sony Pictures Animation,PG
https://www.imdb.com/title/tt2094766/,"$125,000,000","$10,278,225","$240,697,856",New Regency Productions,PG-13
https://www.imdb.com/title/tt2978576/,,,"$896,929",BBC Films,Not Rated
https://www.imdb.com/title/tt3797868/,,"$6,050,443","$23,079,932",Nicholas Sparks Productions,PG-13
https://www.imdb.com/title/tt1219289/,"$27,000,000","$18,907,302","$161,849,455",Relativity Media,PG-13
https://www.imdb.com/title/tt3120280/,,,,Black Label Media,PG-13
https://www.imdb.com/title/tt4411618/,"$15,000,000",,"$213,982",Thats Hollywood,R
https://www.imdb.com/title/tt2888046/,"$36,000,000","$784,839","$157,029,618",Golden Harvest Company,PG-13
https://www.imdb.com/title/tt7339792/,"$6,000,000","$2,238,723","$6,216,897",Universal 1440 Entertainment,PG-13
https://www.imdb.com/title/tt1334102/,"$20,000,000",,"$6,742,156",Exclusive Media Group,R
https://www.imdb.com/title/tt7962932/,,"$1,963","$10,523",Black Fawn Films,Not Rated
https://www.imdb.com/title/tt8902978/,,,,51 Entertainment,R
https://www.imdb.com/title/tt1375670/,"$80,000,000","$40,506,562","$271,457,301",Columbia Pictures,PG-13
https://www.imdb.com/title/tt3263904/,"$60,000,000","$35,028,301","$240,797,623",Flashlight Films,PG-13
https://www.imdb.com/title/tt3276924/,"$8,900,000","$28,688","$3,777,046",Hannibal Classics,R
https://www.imdb.com/title/tt5034122/,,,,Slated,TV-MA
https://www.imdb.com/title/tt4915672/,,,"$7,910,928",Nest Holdings,TV-MA
https://www.imdb.com/title/tt3714720/,"$3,800,000","$38,210","$1,138,609",Sycamore Pictures,PG-13
https://www.imdb.com/title/tt7615302/,,"$38,949","$10,647,493",Trademark Films,R
https://www.imdb.com/title/tt6560164/,,,,Blumhouse Productions,PG-13
https://www.imdb.com/title/tt1856101/,"$150,000,000","$32,753,122","$259,334,548",Alcon Entertainment,R
https://www.imdb.com/title/tt2597768/,,,"$4,052",Automatik Entertainment,R
https://www.imdb.com/title/tt1976009/,"$65,000,000","$2,469,341","$34,227,298",Davis Entertainment,PG-13
https://www.imdb.com/title/tt4456850/,"$9,000,000",,,Disney Channel,TV-G
https://www.imdb.com/title/tt0990407/,"$120,000,000","$33,526,876","$227,817,248",Columbia Pictures,PG-13
https://www.imdb.com/title/tt1440728/,"$20,000,000","$13,177,790","$67,876,281",Focus Features,R
https://www.imdb.com/title/tt10308928/,"$23,000,000",,"$638,221",Emmett/Furla/Oasis Films (EFO Films),R
https://www.imdb.com/title/tt4181782/,,,"$6,554,322",Motion Picture Capital,R
https://www.imdb.com/title/tt3148890/,,,,Bloodline Pictures,Unrated
https://www.imdb.com/title/tt3721936/,,"$71,203","$2,290,649",Maven Pictures,R
https://www.imdb.com/title/tt1629440/,,,,Blondie Girl Productions,G
https://www.imdb.com/title/tt6613878/,,,,Serendipity Point Films,Not Rated
https://www.imdb.com/title/tt1572315/,"$20,000,000","$21,744,470","$47,340,586",Lionsgate,R
https://www.imdb.com/title/tt3457734/,,,,Orion Pictures,R
https://www.imdb.com/title/tt1778304/,"$5,000,000","$52,568,183","$207,039,844",Paramount Pictures,R
https://www.imdb.com/title/tt7365604/,"$10,000,000","$2,554,766","$6,842,356",LD Entertainment,PG
https://www.imdb.com/title/tt6483364/,,"$43,620","$1,573,601",Mister Smith Entertainment,PG-13
https://www.imdb.com/title/tt2042568/,"$11,000,000","$405,411","$32,960,249",CBS Films,R
https://www.imdb.com/title/tt1047011/,,"$25,728","$9,166,865",Steel Mill Pictures,PG-13
https://www.imdb.com/title/tt1321860/,"$21,000,000","$107,577","$7,294,800",Summit Entertainment,PG-13
https://www.imdb.com/title/tt3958780/,,"$82,434","$1,672,306",Broad Street Pictures,R
https://www.imdb.com/title/tt5179598/,"$15,000,000",,"$2,712,606",Armory Films,R
https://www.imdb.com/title/tt1928330/,,,,Amber Lamps,R
https://www.imdb.com/title/tt1374989/,"$28,000,000","$5,324,240","$16,457,494",Cross Creek Pictures,PG-13
https://www.imdb.com/title/tt6083648/,,,"$76,788",Highland Film Group (HFG),R
https://www.imdb.com/title/tt0903657/,"$10,000,000","$2,122,177","$28,641,776",River Road Entertainment,PG-13
https://www.imdb.com/title/tt5539052/,,,,ShivHans Pictures,TV-14
https://www.imdb.com/title/tt1528854/,"$50,000,000","$38,740,203","$242,786,137",Paramount Pictures,PG-13
https://www.imdb.com/title/tt4353250/,,"$235,272","$4,637,830",A24,R
https://www.imdb.com/title/tt4082068/,,"$20,249","$5,562,575",Why Not Productions,R
https://www.imdb.com/title/tt0800325/,,,,10th Street Entertainment,TV-MA
https://www.imdb.com/title/tt2788710/,"$44,000,000","$1,794,666","$11,782,625",Columbia Pictures,R
https://www.imdb.com/title/tt2076298/,"$52,000,000","$737,718","$176,345,966",Golden Harvest Company,Not Rated
https://www.imdb.com/title/tt5702446/,,"$1,386,254","$2,848,233",10 West Studios,PG
https://www.imdb.com/title/tt2452244/,"$31,000,000","$14,247,758","$48,791,187",BRON Studios,PG-13
https://www.imdb.com/title/tt2404299/,,,,Full Blitz Entertainment,Not Rated
https://www.imdb.com/title/tt9222438/,,,,Mandorla Productions,R
https://www.imdb.com/title/tt1616195/,"$35,000,000","$11,217,324","$84,920,539",Imagine Entertainment,R
https://www.imdb.com/title/tt2726552/,,$978,"$91,149",Killer Films,R
https://www.imdb.com/title/tt3922818/,"$30,000,000","$3,775,596","$16,080,475",Los Angeles Media Fund (LAMF),PG-13
https://www.imdb.com/title/tt1430612/,"$28,000,000","$9,516,855","$71,416,730",Relativity Media,PG-13
https://www.imdb.com/title/tt7131622/,"$90,000,000","$41,082,018","$374,375,059",Columbia Pictures,R
https://www.imdb.com/title/tt5629964/,,,"$2,930,680",Midnight Productions,Not Rated
https://www.imdb.com/title/tt1489889/,"$50,000,000","$35,535,250","$216,972,543",New Line Cinema,PG-13
https://www.imdb.com/title/tt6472976/,"$7,000,000","$13,190,286","$91,527,795",CBS Films,PG-13
https://www.imdb.com/title/tt4265508/,,,"$62,933",Punch Media,Not Rated
https://www.imdb.com/title/tt1653665/,,"$57,917","$7,401,949",DJ Films,PG
https://www.imdb.com/title/tt2265534/,,,,C Plus Pictures,R
https://www.imdb.com/title/tt4882376/,"$24,000,000",,,Netflix,TV-MA
https://www.imdb.com/title/tt5726616/,"€4,000,000","$412,932","$41,888,660",Frenesy Film Company,R
https://www.imdb.com/title/tt1160996/,"$16,000,000",,"$321,310",Alcina Pictures,Not Rated
